Iteration,TX_Time,RX_Time,Delay,D_K,Delay_cc,T_K
1,"[[""1.727122080201925e9""], [""1.727122080202215e9""]]","[[""1.727122089767822e9""], [""1.727122104614828e9""]]","[[9.565896987915039], [24.41261315345764]]",0.4,0.859285831451416,1.259285831451416
2,"[[""1.727122105474572e9""], [""1.727122105474783e9""]]","[[""1.72712210600181e9""], [""1.727122105773672e9""]]","[[0.527238130569458], [0.29888916015625]]",0.4,0.006114006042480469,0.4061140060424805
3,"[[""1.727122106008293e9""], [""1.72712210600846e9""]]","[[""1.727122106112215e9""], [""1.727122106311913e9""]]","[[0.10392212867736816], [0.3034529685974121]]",0.3034529685974121,0.007325887680053711,0.3107788562774658
4,"[[""1.727122106319755e9""], [""1.727122106319965e9""]]","[[""1.727122106412317e9""], [""1.72712210660497e9""]]","[[0.09256196022033691], [0.2850050926208496]]",0.2850050926208496,0.006043910980224609,0.2910490036010742
5,"[[""1.72712210661149e9""], [""1.727122106611662e9""]]","[[""1.727122106696756e9""], [""1.727122106901786e9""]]","[[0.0852658748626709], [0.29012417793273926]]",0.29012417793273926,0.006230831146240234,0.2963550090789795
6,"[[""1.727122106908579e9""], [""1.727122106908752e9""]]","[[""1.727122106996786e9""], [""1.72712210720983e9""]]","[[0.08820700645446777], [0.30107808113098145]]",0.30107808113098145,0.008883953094482422,0.30996203422546387
7,"[[""1.727122107219618e9""], [""1.727122107219828e9""]]","[[""1.727122107311649e9""], [""1.727122107511902e9""]]","[[0.09203100204467773], [0.29207420349121094]]",0.29207420349121094,0.006889820098876953,0.2989640235900879
8,"[[""1.727122107519579e9""], [""1.727122107519776e9""]]","[[""1.727122107606974e9""], [""1.727122107803292e9""]]","[[0.08739495277404785], [0.28351593017578125]]",0.28351593017578125,0.005922079086303711,0.28943800926208496
9,"[[""1.727122107809928e9""], [""1.727122107810122e9""]]","[[""1.727122107896864e9""], [""1.727122108101864e9""]]","[[0.08693599700927734], [0.29174208641052246]]",0.29174208641052246,0.005896806716918945,0.2976388931274414
10,"[[""1.727122108108523e9""], [""1.727122108108676e9""]]","[[""1.727122108219784e9""], [""1.727122108381929e9""]]","[[0.11126112937927246], [0.2732529640197754]]",0.2732529640197754,0.005889177322387695,0.2791421413421631
11,"[[""1.727122108388671e9""], [""1.727122108388841e9""]]","[[""1.727122108479095e9""], [""1.727122108651737e9""]]","[[0.0904240608215332], [0.2628960609436035]]",0.2628960609436035,0.0067751407623291016,0.2696712017059326
12,"[[""1.727122108659597e9""], [""1.727122108659768e9""]]","[[""1.727122108758903e9""], [""1.727122108911927e9""]]","[[0.09930610656738281], [0.25215888023376465]]",0.25215888023376465,0.005995035171508789,0.25815391540527344
13,"[[""1.727122108918904e9""], [""1.72712210891908e9""]]","[[""1.727122109014122e9""], [""1.727122109172005e9""]]","[[0.09521794319152832], [0.25292491912841797]]",0.25292491912841797,0.005856990814208984,0.25878190994262695
14,"[[""1.727122109180207e9""], [""1.727122109180395e9""]]","[[""1.727122109273848e9""], [""1.727122109423001e9""]]","[[0.09364104270935059], [0.24260616302490234]]",0.24260616302490234,0.005972862243652344,0.2485790252685547
15,"[[""1.727122109430059e9""], [""1.727122109430214e9""]]","[[""1.727122109521723e9""], [""1.727122109693263e9""]]","[[0.09166407585144043], [0.2630491256713867]]",0.2630491256713867,0.007105827331542969,0.2701549530029297
16,"[[""1.727122109701918e9""], [""1.727122109702083e9""]]","[[""1.7271221098117e9""], [""1.727122109951989e9""]]","[[0.10978221893310547], [0.24990582466125488]]",0.24990582466125488,0.006829977035522461,0.25673580169677734
17,"[[""1.727122109960241e9""], [""1.727122109960433e9""]]","[[""1.727122110054015e9""], [""1.727122110203937e9""]]","[[0.09377384185791016], [0.24350404739379883]]",0.24350404739379883,0.006803989410400391,0.2503080368041992
18,"[[""1.727122110212066e9""], [""1.727122110212239e9""]]","[[""1.727122110312219e9""], [""1.72712211047197e9""]]","[[0.10015296936035156], [0.2597310543060303]]",0.2597310543060303,0.0064089298248291016,0.2661399841308594
19,"[[""1.727122110479916e9""], [""1.727122110480092e9""]]","[[""1.727122110575096e9""], [""1.727122110724123e9""]]","[[0.09517979621887207], [0.24403095245361328]]",0.24403095245361328,0.006155967712402344,0.2501869201660156
20,"[[""1.72712211073181e9""], [""1.727122110731969e9""]]","[[""1.727122110811969e9""], [""1.727122110991675e9""]]","[[0.08015894889831543], [0.2597057819366455]]",0.2597057819366455,0.005532026290893555,0.26523780822753906
21,"[[""1.727122110998522e9""], [""1.727122110998707e9""]]","[[""1.727122111113739e9""], [""1.727122111261732e9""]]","[[0.11521697044372559], [0.26302504539489746]]",0.26302504539489746,0.006289958953857422,0.2693150043487549
22,"[[""1.727122111269578e9""], [""1.727122111269787e9""]]","[[""1.727122111362623e9""], [""1.727122111512287e9""]]","[[0.09304499626159668], [0.24249982833862305]]",0.24249982833862305,0.006038188934326172,0.24853801727294922
23,"[[""1.727122111520096e9""], [""1.727122111520256e9""]]","[[""1.727122111613591e9""], [""1.727122111761793e9""]]","[[0.09349489212036133], [0.24153685569763184]]",0.24153685569763184,0.0072782039642333984,0.24881505966186523
24,"[[""1.727122111771214e9""], [""1.727122111771444e9""]]","[[""1.727122112831962e9""], [""1.727122112014126e9""]]","[[1.0607481002807617], [0.24268198013305664]]",0.4,0.006106853485107422,0.40610685348510744
25,"[[""1.727122112839759e9""], [""1.727122112839939e9""]]","[[""1.727122112936087e9""], [""1.727122113132444e9""]]","[[0.0963277816772461], [0.29250478744506836]]",0.29250478744506836,0.006142139434814453,0.2986469268798828
26,"[[""1.727122113140381e9""], [""1.727122113140582e9""]]","[[""1.727122113371808e9""], [""1.727122113581952e9""]]","[[0.23142695426940918], [0.44137001037597656]]",0.4,0.00713801383972168,0.4071380138397217
27,"[[""1.727122113591339e9""], [""1.727122113591586e9""]]","[[""1.727122113681928e9""], [""1.72712211384371e9""]]","[[0.09058880805969238], [0.2521238327026367]]",0.2521238327026367,0.005802154541015625,0.25792598724365234
28,"[[""1.727122113851359e9""], [""1.72712211385151e9""]]","[[""1.727122113936229e9""], [""1.727122114115056e9""]]","[[0.0848701000213623], [0.2635459899902344]]",0.2635459899902344,0.006494998931884766,0.27004098892211914
29,"[[""1.727122114124074e9""], [""1.727122114124371e9""]]","[[""1.727122114206804e9""], [""1.727122114382227e9""]]","[[0.08273005485534668], [0.2578558921813965]]",0.2578558921813965,0.006114006042480469,0.26396989822387695
30,"[[""1.727122114390406e9""], [""1.727122114390567e9""]]","[[""1.72712211447192e9""], [""1.727122114633988e9""]]","[[0.08151412010192871], [0.24342083930969238]]",0.24342083930969238,0.00587010383605957,0.24929094314575195
31,"[[""1.727122114641932e9""], [""1.727122114642093e9""]]","[[""1.727122114730876e9""], [""1.727122114894156e9""]]","[[0.0889439582824707], [0.2520630359649658]]",0.2520630359649658,0.006143093109130859,0.2582061290740967
32,"[[""1.727122114902607e9""], [""1.727122114902782e9""]]","[[""1.727122114984953e9""], [""1.727122115154705e9""]]","[[0.08234596252441406], [0.2519230842590332]]",0.2519230842590332,0.007299900054931641,0.25922298431396484
33,"[[""1.727122115164743e9""], [""1.727122115164903e9""]]","[[""1.727122115245279e9""], [""1.727122115411847e9""]]","[[0.0805361270904541], [0.24694418907165527]]",0.24694418907165527,0.0069408416748046875,0.25388503074645996
34,"[[""1.727122115421357e9""], [""1.727122115421524e9""]]","[[""1.727122115497321e9""], [""1.727122115671816e9""]]","[[0.07596397399902344], [0.2502920627593994]]",0.2502920627593994,0.007071971893310547,0.25736403465270996
35,"[[""1.727122115681336e9""], [""1.727122115681495e9""]]","[[""1.72712211576281e9""], [""1.727122115932334e9""]]","[[0.08147406578063965], [0.2508389949798584]]",0.2508389949798584,0.0061609745025634766,0.2569999694824219
36,"[[""1.727122115941078e9""], [""1.727122115941254e9""]]","[[""1.727122116016898e9""], [""1.727122116194713e9""]]","[[0.0758199691772461], [0.25345921516418457]]",0.25345921516418457,0.006273984909057617,0.2597332000732422
37,"[[""1.727122116203441e9""], [""1.727122116203608e9""]]","[[""1.727122116296852e9""], [""1.727122116452072e9""]]","[[0.09341120719909668], [0.24846386909484863]]",0.24846386909484863,0.006331205368041992,0.2547950744628906
38,"[[""1.72712211646059e9""], [""1.727122116460764e9""]]","[[""1.727122116540094e9""], [""1.727122116702166e9""]]","[[0.07950401306152344], [0.24140214920043945]]",0.24140214920043945,0.008623838424682617,0.25002598762512207
39,"[[""1.727122116714796e9""], [""1.727122116715054e9""]]","[[""1.72712211678881e9""], [""1.727122116972236e9""]]","[[0.07401394844055176], [0.25718188285827637]]",0.25718188285827637,0.007317066192626953,0.2644989490509033
40,"[[""1.727122116983306e9""], [""1.727122116983504e9""]]","[[""1.727122117057153e9""], [""1.727122117235041e9""]]","[[0.07384705543518066], [0.25153684616088867]]",0.25153684616088867,0.006479978561401367,0.25801682472229004
41,"[[""1.727122117244271e9""], [""1.727122117244446e9""]]","[[""1.72712211732535e9""], [""1.727122117484428e9""]]","[[0.08107900619506836], [0.23998188972473145]]",0.23998188972473145,0.007194042205810547,0.247175931930542
42,"[[""1.727122117495539e9""], [""1.727122117495709e9""]]","[[""1.72712211757688e9""], [""1.727122117733847e9""]]","[[0.08134102821350098], [0.23813796043395996]]",0.23813796043395996,0.005900144577026367,0.24403810501098633
