Iteration,TX_Time,RX_Time,Delay,D_K,Delay_cc,T_K,Z12,Primal_Residual,LocalUpdate
1,"[[""1.727745275223227e9""], [""1.727745275223521e9""]]","[[""1.727745284311015e9""], [""1.727745288996169e9""]]","[[9.087787866592407], [10.0]]",10.0,0.20598793029785156,10.205987930297852,"[0.5175, 0.514585, 0.97768, 0.96125, 0.89824, 0.6220600000000001, 0.5175, 0.514585, 0.5175, 0.514585, 0.9775900000000001, 0.96125, 0.82705, 0.64545, 0.5175, 0.514585, 0.5175, 0.514585, 0.977665, 0.96125, 0.914705, 0.560465, 0.5175, 0.514585]","[[0.5025, 0.505415, 0.042320000000000024, 0.05875000000000008, 0.12176000000000009, 0.39794000000000007, 0.5025, 0.505415, 0.5025, 0.505415, 0.04241000000000006, 0.05875000000000008, 0.19294999999999995, 0.37455, 0.5025, 0.505415, 0.5025, 0.505415, 0.04233500000000001, 0.05875000000000008, 0.10529500000000003, 0.45953499999999997, 0.5025, 0.505415], [0.48250000000000004, 0.48541500000000004, 0.022320000000000007, 0.03874999999999995, 0.10175999999999996, 0.37793999999999994, 0.48250000000000004, 0.48541500000000004, 0.48250000000000004, 0.48541500000000004, 0.02240999999999993, 0.03874999999999995, 0.17295000000000005, 0.35455000000000003, 0.48250000000000004, 0.48541500000000004, 0.48250000000000004, 0.48541500000000004, 0.022334999999999994, 0.03874999999999995, 0.08529500000000001, 0.439535, 0.48250000000000004, 0.48541500000000004]]","[[1], Int64[]]"
2,"[[""1.727745289202645e9""], [""1.727745289202814e9""]]","[String[], [""1.727745289457258e9""]]","[Float64[], [0.254443883895874]]",0.254443883895874,0.0031919479370117188,0.25763583183288574,"[0.015000000000000097, 0.009170000000000067, 0.9676799999999999, 0.9479449999999999, 0.3907399999999999, 0.15830999999999995, 0.015000000000000097, 5.551115123125783e-17, 0.015000000000000097, 0.009170000000000067, 0.9675899999999998, 0.9467999999999999, 0.31955000000000006, 0.18170000000000003, 0.015000000000000097, 5.551115123125783e-17, 0.015000000000000097, 0.009170000000000067, 0.96827, 0.9495649999999999, 0.412205, 0.08338000000000001, 0.015000000000000097, 5.551115123125783e-17]","[[9.71445146547012e-17, 6.765421556309548e-17, 0.032319999999999904, 0.04544499999999996, 0.38574, 0.06581000000000006, 9.71445146547012e-17, 0.009169999999999944, 9.71445146547012e-17, 6.765421556309548e-17, 0.03240999999999983, 0.044299999999999895, 0.31454999999999994, 0.08919999999999995, 9.71445146547012e-17, 0.009169999999999944, 9.71445146547012e-17, 6.765421556309548e-17, 0.03293999999999997, 0.04706499999999991, 0.397205, 0.017549999999999996, 9.71445146547012e-17, 0.009169999999999944], [9.71445146547012e-17, 6.765421556309548e-17, 0.032320000000000126, 0.04544500000000007, 0.3857399999999999, 0.06580999999999995, 9.71445146547012e-17, 0.009170000000000055, 9.71445146547012e-17, 6.765421556309548e-17, 0.03241000000000016, 0.04430000000000012, 0.31455000000000005, 0.08920000000000003, 9.71445146547012e-17, 0.009170000000000055, 9.71445146547012e-17, 6.765421556309548e-17, 0.03293999999999997, 0.047065000000000135, 0.397205, 0.01755000000000001, 9.71445146547012e-17, 0.009170000000000055]]","[Int64[], [1]]"
3,"[[""1.727745289460813e9""], [""1.727745289460992e9""]]","[[""1.727745289491102e9"", ""1.727745289581092e9""], [""1.72774528967725e9""]]","[[0.0302889347076416, 0.12027883529663086], [0.21625781059265137]]",0.21625781059265137,0.003139019012451172,0.21939682960510254,"[0.015000000000000013, 0.0, 0.94277, 0.924555, 0.04389499999999999, 0.21651000000000004, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9428250000000001, 0.9242750000000001, 0.07463, 0.21481, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.948485, 0.9288000000000001, 0.05232999999999999, 0.230275, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.007410000000000028, 0.022055000000000047, 0.03889500000000001, 0.16068, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.007645000000000124, 0.0217750000000001, 0.06963, 0.15898, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.013155000000000028, 0.0263000000000001, 0.037330000000000016, 0.164445, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.007410000000000028, 0.022054999999999936, 0.03889499999999999, 0.16068000000000005, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.007644999999999902, 0.021774999999999878, 0.06963, 0.15898, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.013155000000000028, 0.02629999999999988, 0.03732999999999999, 0.164445, 1.3877787807814457e-17, 0.00917]]","[[2, 3], [2]]"
4,"[[""1.727745289680905e9""], [""1.727745289681071e9""]]","[[""1.727745289756029e9""], [""1.72774528994722e9""]]","[[0.07512378692626953], [0.26614904403686523]]",0.26614904403686523,0.0027070045471191406,0.2688560485839844,"[0.015000000000000013, 0.0, 0.9351450000000001, 0.9212149999999999, -0.139495, 0.19907, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9414, 0.9292699999999999, -0.06733, 0.17719, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.94451, 0.9284899999999999, -0.14176, 0.25400500000000004, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.0173549999999999, 0.0069950000000000845, 0.144495, 0.14324, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.019440000000000013, 0.011720000000000064, 0.07233, 0.12136, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.005510000000000015, 0.0039599999999999635, 0.15676, 0.18817499999999998, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.01735500000000012, 0.0069949999999998624, 0.144495, 0.14324, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.019440000000000013, 0.011719999999999953, 0.07233, 0.12136, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.005510000000000015, 0.003960000000000075, 0.15676, 0.18817500000000004, 1.3877787807814457e-17, 0.00917]]","[[4], [3]]"
5,"[[""1.727745289950421e9""], [""1.727745289950555e9""]]","[[""1.727745290036052e9""], [""1.727745290186927e9""]]","[[0.08563089370727539], [0.2363719940185547]]",0.2363719940185547,0.002665996551513672,0.23903799057006836,"[0.015000000000000013, 0.0, 0.9580949999999999, 0.9489050000000001, -0.15757499999999997, 0.147405, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.966925, 0.95922, -0.096375, 0.124485, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9609699999999999, 0.950745, -0.15975999999999999, 0.19040999999999997, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.018955000000000055, 0.016124999999999945, 0.16257500000000003, 0.05490499999999998, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.018464999999999954, 0.018589999999999995, 0.101375, 0.031985, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.015080000000000093, 0.01283500000000004, 0.17476, 0.09958000000000006, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.018954999999999944, 0.016125000000000056, 0.16257499999999997, 0.05490500000000001, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.018465000000000065, 0.018589999999999995, 0.101375, 0.031985, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.015079999999999871, 0.01283499999999993, 0.17475999999999997, 0.09957999999999997, 1.3877787807814457e-17, 0.00917]]","[[5], [4]]"
6,"[[""1.727745290190128e9""], [""1.727745290190266e9""]]","[[""1.727745290279186e9""], [""1.727745290425048e9""]]","[[0.08905792236328125], [0.23478221893310547]]",0.23478221893310547,0.002541780471801758,0.23732399940490723,"[0.015000000000000013, 0.0, 0.9766400000000001, 0.971015, -0.08362000000000001, 0.09584999999999999, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.986265, 0.9813, -0.06035, 0.0818, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9729350000000001, 0.9654500000000001, -0.08116000000000001, 0.11819500000000002, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.014449999999999963, 0.01507500000000006, 0.08861999999999999, 0.0033500000000000058, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0090650000000001, 0.011430000000000051, 0.06535, 0.010700000000000001, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.017244999999999844, 0.019319999999999893, 0.09616, 0.015694999999999987, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.014450000000000074, 0.01507499999999995, 0.08862000000000002, 0.003349999999999992, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.00906499999999999, 0.01142999999999994, 0.06535, 0.010700000000000001, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.017245000000000066, 0.019320000000000115, 0.09616000000000001, 0.01569500000000003, 1.3877787807814457e-17, 0.00917]]","[[6], [5]]"
7,"[[""1.727745290428499e9""], [""1.727745290428651e9""]]","[[""1.727745290521132e9""], [""1.727745290666994e9""]]","[[0.09263300895690918], [0.2383430004119873]]",0.2383430004119873,0.0027589797973632812,0.24110198020935059,"[0.015000000000000013, 0.0, 0.99713, 0.992245, -0.0007199999999999984, 0.06848499999999999, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.99923, 0.996175, -0.010845, 0.05308500000000001, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.987855, 0.9810949999999999, 0.006014999999999986, 0.069785, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.0007300000000000084, 0.0018049999999999455, 0.005720000000000002, 0.024014999999999988, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0007699999999999374, 0.0012449999999999406, 0.015844999999999998, 0.018835000000000005, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.001954999999999929, 0.0031250000000000444, 0.008984999999999986, 0.019485000000000002, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.0007300000000000084, 0.0018050000000000566, 0.0057199999999999985, 0.02401500000000001, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0007700000000000484, 0.0012450000000000516, 0.015845, 0.01883499999999999, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.00195500000000004, 0.0031249999999999334, 0.008985000000000014, 0.019485000000000002, 1.3877787807814457e-17, 0.00917]]","[[7], [6]]"
8,"[[""1.727745290670439e9""], [""1.727745290670605e9""]]","[[""1.727745290746132e9""], [""1.727745290924829e9""]]","[[0.07569289207458496], [0.2542240619659424]]",0.2542240619659424,0.0028040409088134766,0.25702810287475586,"[0.015000000000000013, 0.0, 0.999645, 0.99652, 0.042214999999999996, 0.043525, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 1.001425, 0.9986949999999999, 0.019685, 0.03831999999999999, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.99454, 0.98829, 0.05449000000000001, 0.04094500000000001, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.003924999999999956, 0.0034799999999999276, 0.037215000000000005, 0.012305, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0029850000000000154, 0.0013049999999998896, 0.014684999999999997, 0.017509999999999994, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.00546000000000002, 0.005160000000000053, 0.03948999999999998, 0.024885000000000008, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.003925000000000067, 0.0034800000000000386, 0.037215, 0.012304999999999996, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0029850000000000154, 0.0013050000000001116, 0.014685, 0.017510000000000005, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.00546000000000002, 0.005160000000000053, 0.03949000000000001, 0.02488499999999999, 1.3877787807814457e-17, 0.00917]]","[[8], [7]]"
9,"[[""1.727745290928365e9""], [""1.727745290928513e9""]]","[[""1.727745291010943e9""], [""1.727745291177156e9""]]","[[0.08257794380187988], [0.2486429214477539]]",0.2486429214477539,0.0027010440826416016,0.2513439655303955,"[0.015000000000000013, 0.0, 1.000675, 0.998065, 0.044829999999999995, 0.037075000000000004, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 1.0003549999999999, 0.99709, 0.027610000000000003, 0.038005, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9954949999999999, 0.98972, 0.05794999999999999, 0.03652, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.002894999999999981, 0.00193500000000002, 0.039830000000000004, 0.018755000000000004, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.00405499999999992, 0.002910000000000079, 0.022609999999999998, 0.017824999999999997, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.00450499999999987, 0.003730000000000011, 0.042950000000000016, 0.029309999999999996, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.002895000000000092, 0.00193500000000002, 0.03983, 0.018754999999999994, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.004055000000000142, 0.002909999999999968, 0.02261, 0.017825, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.004505000000000092, 0.003730000000000011, 0.04294999999999999, 0.029310000000000003, 1.3877787807814457e-17, 0.00917]]","[[9], [8]]"
10,"[[""1.727745291180635e9""], [""1.727745291180769e9""]]","[[""1.727745291272067e9""], [""1.727745291437202e9""]]","[[0.09143209457397461], [0.25643301010131836]]",0.25643301010131836,0.002735137939453125,0.2591681480407715,"[0.015000000000000013, 0.0, 1.00028, 0.9974750000000001, 0.026125000000000002, 0.042505, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9989450000000002, 0.99498, 0.019825, 0.045515, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9954200000000002, 0.9896050000000001, 0.03780000000000001, 0.047814999999999996, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.003290000000000015, 0.0025250000000001105, 0.021124999999999998, 0.013325, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.005465000000000164, 0.0050200000000000244, 0.014825000000000001, 0.010314999999999998, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0045800000000001395, 0.0038450000000000983, 0.022799999999999994, 0.018014999999999996, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.003290000000000015, 0.0025249999999998884, 0.021125, 0.013324999999999997, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.005464999999999831, 0.0050200000000000244, 0.014824999999999998, 0.010314999999999998, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0045799999999998064, 0.0038449999999999873, 0.022800000000000008, 0.018015000000000003, 1.3877787807814457e-17, 0.00917]]","[[10], [9]]"
