Iteration,TX_Time,RX_Time,Delay_process,Delay,D_K,Delay_cc,T_K,Z12,Primal_Residual,LocalUpdate,GlobalUpdate
1,"[[""1.72833087886296e9""], [""1.728330878907467e9""]]","[[""1.728330890095659e9""], [""1.728330890096977e9""]]","[Float64[], Float64[]]","[[0.16], [0.16]]",0.16,0.5241439342498779,0.684143934249878,"[1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998]","[[0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787], [0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787]]","[Int64[], Int64[]]",NA
2,"[[""1.728330890621428e9""], [""1.728330890621622e9""]]","[[""1.728330890802016e9""], [""1.728330890802872e9""]]","[Float64[], Float64[]]","[[0.16], [0.16]]",0.16,0.0009350776672363281,0.16093507766723633,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[Int64[], Int64[]]",NA
3,"[[""1.728330890804107e9""], [""1.7283308908042e9""]]","[[""1.728330891008698e9""], [""1.728330890931151e9""]]","[Float64[], [0.07181]]","[[0.16], [0.12695097923278809]]",0.16,0.0009241104125976562,0.16092411041259766,"[0.5075000000000002, 0.5045850000000002, 1.01069, 1.008235, 0.5025000000000002, 0.5370850000000003, 0.5075000000000002, 0.5045850000000002, 0.5075000000000002, 0.5045850000000002, 1.01147, 1.0085300000000001, 0.5025000000000002, 0.5370850000000003, 0.5075000000000002, 0.5045850000000002, 0.5075000000000002, 0.5045850000000002, 1.016845, 1.0128150000000002, 0.5075000000000002, 0.5420850000000003, 0.5075000000000002, 0.5045850000000002]","[[0.4924999999999998, 0.4954149999999998, 0.010690000000000088, 0.008234999999999992, 0.49749999999999983, 0.46291499999999974, 0.4924999999999998, 0.4954149999999998, 0.4924999999999998, 0.4954149999999998, 0.011470000000000091, 0.008530000000000149, 0.49749999999999983, 0.46291499999999974, 0.4924999999999998, 0.4954149999999998, 0.4924999999999998, 0.4954149999999998, 0.016845, 0.012815000000000243, 0.4924999999999998, 0.45791499999999974, 0.4924999999999998, 0.4954149999999998], [0.49250000000000016, 0.49541500000000016, 0.010689999999999866, 0.008234999999999992, 0.49750000000000016, 0.46291500000000024, 0.49250000000000016, 0.49541500000000016, 0.49250000000000016, 0.49541500000000016, 0.01146999999999987, 0.008529999999999927, 0.49750000000000016, 0.46291500000000024, 0.49250000000000016, 0.49541500000000016, 0.49250000000000016, 0.49541500000000016, 0.016845, 0.012814999999999799, 0.49250000000000016, 0.4579150000000003, 0.49250000000000016, 0.49541500000000016]]","[Int64[], [1]]",1
4,"[[""1.728330891009921e9""], [""1.728330891010028e9""]]","[[""1.728330891962579e9""], [""1.728330891141092e9""]]","[Float64[], [0.07143]]","[[0.16], [0.13106417655944824]]",0.16,0.0009100437164306641,0.16091004371643067,"[0.5075000000000001, 0.504585, 1.01069, 1.008235, 0.5025, 0.537085, 0.5075000000000001, 0.504585, 0.5075000000000001, 0.504585, 1.01147, 1.0085300000000001, 0.5025, 0.537085, 0.5075000000000001, 0.504585, 0.5075000000000001, 0.504585, 1.016845, 1.0128149999999998, 0.5075000000000001, 0.5420849999999999, 0.5075000000000001, 0.504585]","[[0.49249999999999994, 0.49541500000000005, 0.010690000000000088, 0.008234999999999992, 0.49750000000000005, 0.46291499999999997, 0.49249999999999994, 0.49541500000000005, 0.49249999999999994, 0.49541500000000005, 0.011470000000000091, 0.008530000000000149, 0.49750000000000005, 0.46291499999999997, 0.49249999999999994, 0.49541500000000005, 0.49249999999999994, 0.49541500000000005, 0.016845, 0.012814999999999799, 0.49249999999999994, 0.45791500000000007, 0.49249999999999994, 0.49541500000000005], [0.49250000000000005, 0.49541499999999994, 0.010689999999999866, 0.008234999999999992, 0.49749999999999994, 0.462915, 0.49250000000000005, 0.49541499999999994, 0.49250000000000005, 0.49541499999999994, 0.01146999999999987, 0.008529999999999927, 0.49749999999999994, 0.462915, 0.49250000000000005, 0.49541499999999994, 0.49250000000000005, 0.49541499999999994, 0.016845, 0.012815000000000243, 0.49250000000000005, 0.45791499999999996, 0.49250000000000005, 0.49541499999999994]]","[Int64[], [2]]",2
5,"[[""1.728330891963658e9""], [""1.728330891963782e9""]]","[[""1.728330892080048e9""], String[]]","[[0.03123], Float64[]]","[[0.11638998985290527], Float64[]]",0.11638998985290527,0.0010318756103515625,0.11742186546325684,"[0.014999999999999958, 1.1102230246251565e-16, 1.04459, 1.059485, -0.22632999999999986, -0.110595, 0.014999999999999958, 1.1102230246251565e-16, 0.014999999999999958, 1.1102230246251565e-16, 1.04524, 1.05978, -0.22597499999999987, -0.13005, 0.014999999999999958, 1.1102230246251565e-16, 0.014999999999999958, 1.1102230246251565e-16, 1.050675, 1.064065, -0.22611000000000003, -0.09528999999999999, 0.014999999999999958, 1.1102230246251565e-16]","[[4.163336342344337e-17, 0.00917000000000011, 0.023210000000000175, 0.043015000000000025, 0.23133000000000015, 0.184765, 4.163336342344337e-17, 0.00917000000000011, 4.163336342344337e-17, 0.00917000000000011, 0.022299999999999986, 0.04272000000000009, 0.23097500000000015, 0.20422, 4.163336342344337e-17, 0.00917000000000011, 4.163336342344337e-17, 0.00917000000000011, 0.016985000000000028, 0.038435, 0.24111, 0.17946, 4.163336342344337e-17, 0.00917000000000011], [4.163336342344337e-17, 0.009169999999999888, 0.023209999999999953, 0.043015000000000025, 0.23132999999999987, 0.184765, 4.163336342344337e-17, 0.009169999999999888, 4.163336342344337e-17, 0.009169999999999888, 0.022299999999999986, 0.04271999999999987, 0.23097499999999987, 0.20422, 4.163336342344337e-17, 0.009169999999999888, 4.163336342344337e-17, 0.009169999999999888, 0.016985000000000028, 0.038435, 0.24111000000000005, 0.17945999999999998, 4.163336342344337e-17, 0.009169999999999888]]","[[1], Int64[]]",3
6,"[[""1.728330892081249e9""], [""1.728330892081372e9""]]","[[""1.728330892180432e9""], [""1.728330892391513e9""]]","[[0.02519], Float64[]]","[[0.0991830825805664], [0.16]]",0.16,0.0011889934539794922,0.1611889934539795,"[0.014999999999999958, 0.0, 1.0445900000000001, 1.0594850000000002, -0.40387499999999993, -0.07314500000000002, 0.014999999999999958, 0.0, 0.014999999999999958, 0.0, 1.0452399999999997, 1.0597800000000002, -0.34698, -0.10523500000000002, 0.014999999999999958, 0.0, 0.014999999999999958, 0.0, 1.050675, 1.0640650000000003, -0.409605, -0.01927000000000001, 0.014999999999999958, 0.0]","[[4.163336342344337e-17, 0.00917, 0.023209999999999953, 0.0430149999999998, 0.40887500000000004, 0.14731499999999997, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.02230000000000021, 0.04271999999999987, 0.35198, 0.17940499999999998, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.016985000000000028, 0.038434999999999775, 0.424605, 0.10343999999999999, 4.163336342344337e-17, 0.00917], [4.163336342344337e-17, 0.00917, 0.023210000000000175, 0.04301500000000025, 0.40887499999999993, 0.14731500000000003, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.022299999999999764, 0.04272000000000009, 0.35198, 0.17940500000000004, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.016985000000000028, 0.03843500000000022, 0.424605, 0.10344, 4.163336342344337e-17, 0.00917]]","[[2], Int64[]]",4
7,"[[""1.728330892392927e9""], [""1.728330892393089e9""]]","[[""1.728330892482201e9""], [""1.728330892551582e9""]]","[[0.02388], [0.07687]]","[[0.08927416801452637], [0.1584930419921875]]",0.1584930419921875,0.000827789306640625,0.15932083129882812,"[0.014999999999999958, 0.0, 1.05098, 1.0658750000000001, -0.31509999999999994, -0.09187499999999993, 0.014999999999999958, 0.0, 0.014999999999999958, 0.0, 1.0534500000000002, 1.06799, -0.286475, -0.117645, 0.014999999999999958, 0.0, 0.014999999999999958, 0.0, 1.0586700000000002, 1.072065, -0.317855, -0.05728, 0.014999999999999958, 0.0]","[[4.163336342344337e-17, 0.00917, 0.016820000000000057, 0.03662499999999991, 0.32010000000000005, 0.16604500000000005, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.014089999999999714, 0.03451000000000004, 0.291475, 0.191815, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.008989999999999831, 0.03043499999999999, 0.332855, 0.14145, 4.163336342344337e-17, 0.00917], [4.163336342344337e-17, 0.00917, 0.016820000000000057, 0.03662500000000013, 0.32009999999999994, 0.16604499999999994, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.014090000000000158, 0.03451000000000004, 0.291475, 0.191815, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.008990000000000276, 0.03043499999999999, 0.332855, 0.14145, 4.163336342344337e-17, 0.00917]]","[[3], [3]]",5
8,"[[""1.728330892552559e9""], [""1.728330892552665e9""]]","[[""1.728330892638065e9""], [""1.72833089268924e9""]]","[[0.02382], [0.06803]]","[[0.08550620079040527], [0.13657498359680176]]",0.13657498359680176,0.001068115234375,0.13764309883117676,"[0.014999999999999958, 0.0, 1.066355, 1.0812499999999998, -0.13755500000000004, -0.129325, 0.014999999999999958, 0.0, 0.014999999999999958, 0.0, 1.0652599999999999, 1.0797999999999999, -0.165465, -0.14246, 0.014999999999999958, 0.0, 0.014999999999999958, 0.0, 1.0595299999999999, 1.0729199999999999, -0.13436, -0.133295, 0.014999999999999958, 0.0]","[[4.163336342344337e-17, 0.00917, 0.0014450000000001406, 0.021250000000000213, 0.142555, 0.203495, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.0022800000000000598, 0.022700000000000164, 0.170465, 0.21663000000000002, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.008130000000000193, 0.02958000000000016, 0.14936000000000002, 0.21746500000000002, 4.163336342344337e-17, 0.00917], [4.163336342344337e-17, 0.00917, 0.0014449999999999186, 0.02124999999999977, 0.14255500000000004, 0.20349499999999998, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.0022799999999998377, 0.022699999999999942, 0.170465, 0.21663, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.00812999999999997, 0.02957999999999994, 0.14936, 0.217465, 4.163336342344337e-17, 0.00917]]","[[4], [4]]",6
9,"[[""1.728330892690486e9""], [""1.728330892690642e9""]]","[[""1.728330892777914e9""], [""1.728330892821459e9""]]","[[0.0236], [0.06756]]","[[0.08742809295654297], [0.13081693649291992]]",0.13081693649291992,0.0010209083557128906,0.1318378448486328,"[0.014999999999999958, 0.0, 1.07651, 1.088645, -0.0036399999999999974, -0.11594500000000002, 0.014999999999999958, 0.0, 0.014999999999999958, 0.0, 1.05884, 1.0672550000000003, -0.04640499999999999, -0.11017500000000001, 0.014999999999999958, 0.0, 0.014999999999999958, 0.0, 1.054235, 1.0640050000000003, 0.021755000000000004, -0.141855, 0.014999999999999958, 0.0]","[[4.163336342344337e-17, 0.00917, 0.016040000000000054, 0.00285499999999983, 0.008640000000000002, 0.19011499999999998, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.0259100000000001, 0.016675000000000217, 0.051405000000000006, 0.147675, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.0004850000000000687, 0.01762499999999978, 0.006754999999999997, 0.22602499999999998, 4.163336342344337e-17, 0.00917], [4.163336342344337e-17, 0.00917, 0.016039999999999832, 0.002855000000000052, 0.008639999999999998, 0.19011500000000003, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.0259100000000001, 0.016674999999999773, 0.051404999999999985, 0.147675, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.0004850000000000687, 0.017625000000000224, 0.006755000000000004, 0.226025, 4.163336342344337e-17, 0.00917]]","[[5], [5]]",7
10,"[[""1.728330892822649e9""], [""1.72833089282278e9""]]","[[""1.72833089289723e9""], [""1.728330892933157e9""]]","[[0.02465], [0.05754]]","[[0.07458090782165527], [0.11037707328796387]]",0.11037707328796387,0.0010521411895751953,0.11142921447753906,"[0.014999999999999958, 0.0, 1.058515, 1.0639399999999999, 0.06500500000000001, -0.04630999999999999, 0.014999999999999958, 0.0, 0.014999999999999958, 0.0, 1.029965, 1.0303099999999998, 0.031895, -0.027914999999999992, 0.014999999999999958, 0.0, 0.014999999999999958, 0.0, 1.03228, 1.0327749999999998, 0.09689500000000001, -0.058250000000000024, 0.014999999999999958, 0.0]","[[4.163336342344337e-17, 0.00917, 0.03395500000000018, 0.02629999999999999, 0.060005, 0.08381000000000002, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.02507499999999996, 0.02177999999999991, 0.026895000000000002, 0.065415, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.02226000000000017, 0.01672499999999988, 0.081895, 0.10574999999999998, 4.163336342344337e-17, 0.00917], [4.163336342344337e-17, 0.00917, 0.03395499999999996, 0.026300000000000212, 0.06000500000000001, 0.08381, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.02507499999999996, 0.021780000000000133, 0.026895, 0.06541499999999999, 4.163336342344337e-17, 0.00917, 4.163336342344337e-17, 0.00917, 0.022259999999999946, 0.016725000000000323, 0.08189500000000001, 0.10575000000000002, 4.163336342344337e-17, 0.00917]]","[[6], [6]]",8
