Iteration,TX_Time,RX_Time,Delay,D_K,Delay_cc,T_K,Z12,Primal_Residual,LocalUpdate
1,"[[""1.727744552511403e9""], [""1.727744552511664e9""]]","[[""1.727744561108322e9""], [""1.727744561109482e9""]]","[[0.36], [0.36]]",0.36,0.22182989120483398,0.581829891204834,"[1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998]","[[0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787], [0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787]]","[Int64[], Int64[]]"
2,"[[""1.727744561331787e9""], [""1.727744561331971e9""]]","[[""1.727744561435149e9""], [""1.727744566238588e9""]]","[[0.10336184501647949], [0.36]]",0.36,0.0035889148712158203,0.3635889148712158,"[0.5075000000000002, 0.5045850000000002, 0.9676800000000002, 0.9512500000000003, 0.8952150000000002, 0.6106800000000002, 0.5075000000000002, 0.5045850000000002, 0.5075000000000002, 0.5045850000000002, 0.9675900000000003, 0.9512500000000003, 0.8216500000000002, 0.6345000000000002, 0.5075000000000002, 0.5045850000000002, 0.5075000000000002, 0.5045850000000002, 0.9676650000000002, 0.9512500000000003, 0.9119900000000002, 0.5474250000000002, 0.5075000000000002, 0.5045850000000002]","[[0.49250000000000016, 0.49541500000000016, 0.03232000000000024, 0.04875000000000029, 0.10478500000000024, 0.3893200000000002, 0.49250000000000016, 0.49541500000000016, 0.49250000000000016, 0.49541500000000016, 0.03241000000000027, 0.04875000000000029, 0.17835000000000023, 0.36550000000000016, 0.49250000000000016, 0.49541500000000016, 0.49250000000000016, 0.49541500000000016, 0.032335000000000225, 0.04875000000000029, 0.08801000000000014, 0.45257500000000017, 0.49250000000000016, 0.49541500000000016], [0.4924999999999998, 0.4954149999999998, 0.03231999999999979, 0.04874999999999974, 0.1047849999999998, 0.3893199999999998, 0.4924999999999998, 0.4954149999999998, 0.4924999999999998, 0.4954149999999998, 0.03240999999999972, 0.04874999999999974, 0.1783499999999998, 0.3654999999999998, 0.4924999999999998, 0.4954149999999998, 0.4924999999999998, 0.4954149999999998, 0.03233499999999978, 0.04874999999999974, 0.08800999999999981, 0.45257499999999984, 0.4924999999999998, 0.4954149999999998]]","[[1], Int64[]]"
3,"[[""1.727744566242553e9""], [""1.727744566242715e9""]]","[String[], [""1.727744566438594e9""]]","[Float64[], [0.19587922096252441]]",0.19587922096252441,0.002919912338256836,0.19879913330078125,"[0.015000000000000097, 0.009170000000000067, 0.9789049999999999, 0.9600249999999998, 0.397715, 0.147765, 0.015000000000000097, 0.009170000000000067, 0.015000000000000097, 0.009170000000000067, 0.9798649999999999, 0.9605899999999999, 0.32415, 0.17158500000000004, 0.015000000000000097, 0.009170000000000067, 0.015000000000000097, 0.009170000000000067, 0.98468, 0.9642349999999998, 0.4194900000000001, 0.08951000000000003, 0.015000000000000097, 0.009170000000000067]","[[9.71445146547012e-17, 6.765421556309548e-17, 0.043544999999999945, 0.057524999999999826, 0.392715, 0.073595, 9.71445146547012e-17, 6.765421556309548e-17, 9.71445146547012e-17, 6.765421556309548e-17, 0.044684999999999864, 0.058089999999999975, 0.31915, 0.09741499999999997, 9.71445146547012e-17, 6.765421556309548e-17, 9.71445146547012e-17, 6.765421556309548e-17, 0.049350000000000005, 0.06173499999999987, 0.40448999999999996, 0.00533999999999997, 9.71445146547012e-17, 6.765421556309548e-17], [9.71445146547012e-17, 6.765421556309548e-17, 0.04354500000000017, 0.05752500000000016, 0.392715, 0.07359500000000001, 9.71445146547012e-17, 6.765421556309548e-17, 9.71445146547012e-17, 6.765421556309548e-17, 0.0446850000000002, 0.058090000000000086, 0.31915, 0.09741500000000004, 9.71445146547012e-17, 6.765421556309548e-17, 9.71445146547012e-17, 6.765421556309548e-17, 0.049350000000000005, 0.061735000000000206, 0.40449000000000007, 0.005340000000000039, 9.71445146547012e-17, 6.765421556309548e-17]]","[Int64[], [1]]"
4,"[[""1.727744566441938e9""], [""1.727744566442104e9""]]","[[""1.727744566635258e9""], [""1.727744566638381e9""]]","[[0.19332003593444824], [0.19627690315246582]]",0.19627690315246582,0.0027489662170410156,0.19902586936950684,"[0.015000000000000013, 0.009165000000000006, 0.9638000000000001, 0.9440600000000001, 0.39422999999999997, 0.15761999999999998, 0.015000000000000013, 0.0, 0.015000000000000013, 0.009165000000000006, 0.9642350000000001, 0.943445, 0.3218500000000001, 0.18122500000000002, 0.015000000000000013, 0.0, 0.015000000000000013, 0.009165000000000006, 0.967665, 0.94896, 0.4158449999999999, 0.08186000000000007, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 4.999999999992857e-6, 0.028440000000000132, 0.04156000000000015, 0.3892300000000001, 0.06512000000000001, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 4.999999999992857e-6, 0.029055000000000053, 0.04094500000000001, 0.31684999999999997, 0.088725, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 4.999999999992857e-6, 0.032335, 0.04646000000000006, 0.4008450000000001, 0.016029999999999933, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 5.000000000006735e-6, 0.02843999999999991, 0.04155999999999993, 0.38922999999999996, 0.06511999999999998, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 5.000000000006735e-6, 0.029054999999999942, 0.04094500000000001, 0.3168500000000001, 0.08872500000000003, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 5.000000000006735e-6, 0.032335, 0.046459999999999946, 0.4008449999999999, 0.016030000000000072, 1.3877787807814457e-17, 0.00917]]","[[2], [2]]"
5,"[[""1.727744566641621e9""], [""1.727744566641765e9""]]","[[""1.727744566679499e9"", ""1.727744566725099e9""], [""1.72774456678853e9""]]","[[0.037877798080444336, 0.08347797393798828], [0.14676499366760254]]",0.14676499366760254,0.0030269622802734375,0.14979195594787598,"[0.015000000000000013, 0.0, 0.950835, 0.936655, -0.14807499999999993, 0.20428500000000002, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.955025, 0.9425849999999999, -0.07743000000000008, 0.180735, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.95746, 0.94226, -0.15155499999999983, 0.251595, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.0006650000000000267, 0.009955000000000047, 0.15307500000000004, 0.14845499999999998, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.004565000000000041, 0.0034649999999999403, 0.08242999999999992, 0.12490500000000002, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0041799999999999615, 0.012839999999999963, 0.16655500000000018, 0.185765, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.0006650000000000267, 0.009954999999999936, 0.15307499999999993, 0.14845500000000003, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.004565000000000041, 0.0034650000000000514, 0.08243000000000009, 0.12490500000000002, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0041800000000000725, 0.012839999999999963, 0.16655499999999984, 0.185765, 1.3877787807814457e-17, 0.00917]]","[[3, 4], [3]]"
6,"[[""1.727744566792247e9""], [""1.727744566792397e9""]]","[[""1.727744566884238e9""], [""1.727744566978313e9""]]","[[0.09199094772338867], [0.18591594696044922]]",0.18591594696044922,0.0026891231536865234,0.18860507011413574,"[0.015000000000000013, 0.0, 0.9489749999999999, 0.9419549999999999, -0.342055, 0.16211, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9551000000000001, 0.9498200000000001, -0.23056999999999997, 0.12639499999999998, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.95833, 0.949225, -0.35112, 0.24850499999999998, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.03118500000000013, 0.027735000000000176, 0.347055, 0.10628000000000001, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.03313999999999995, 0.03226999999999991, 0.23557000000000003, 0.07056500000000002, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.01932999999999996, 0.016774999999999984, 0.36612, 0.18267500000000003, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.031184999999999907, 0.027734999999999843, 0.347055, 0.10628000000000001, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.03314000000000006, 0.03227000000000013, 0.23556999999999997, 0.07056499999999999, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.01933000000000007, 0.016774999999999984, 0.36612, 0.18267499999999998, 1.3877787807814457e-17, 0.00917]]","[[5], [4]]"
7,"[[""1.727744566981589e9""], [""1.72774456698173e9""]]","[[""1.727744567070131e9""], [""1.727744567168351e9""]]","[[0.08854198455810547], [0.18662095069885254]]",0.18662095069885254,0.0029959678649902344,0.18961691856384277,"[0.015000000000000013, 0.0, 0.9568850000000001, 0.9541200000000001, -0.26447, 0.09957999999999999, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9647350000000001, 0.9616899999999999, -0.18334, 0.07835500000000001, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.96633, 0.961635, -0.26700999999999997, 0.16157999999999997, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.03995499999999985, 0.04059999999999997, 0.26947, 0.04098, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.03526499999999988, 0.038040000000000074, 0.18834, 0.01203499999999999, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.028569999999999984, 0.030214999999999992, 0.28201, 0.09575000000000003, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.039955000000000074, 0.04060000000000008, 0.26947, 0.04097999999999999, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0352650000000001, 0.03803999999999996, 0.18834, 0.012035000000000004, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.028569999999999984, 0.030214999999999992, 0.28201, 0.09574999999999997, 1.3877787807814457e-17, 0.00917]]","[[6], [5]]"
8,"[[""1.727744567172026e9""], [""1.727744567172186e9""]]","[[""1.727744567258163e9""], [""1.72774456734879e9""]]","[[0.08613705635070801], [0.1766040325164795]]",0.1766040325164795,0.0028421878814697266,0.17944622039794922,"[0.015000000000000013, 0.0, 0.9696049999999999, 0.9660500000000001, -0.08843499999999999, 0.07153999999999999, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9717899999999999, 0.9676899999999999, -0.06255499999999997, 0.061985, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9715, 0.9673, -0.08426499999999998, 0.086185, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.030075000000000074, 0.032929999999999904, 0.09343500000000002, 0.019359999999999995, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.027190000000000047, 0.030510000000000037, 0.06755500000000003, 0.026235, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.02786999999999995, 0.031259999999999954, 0.09926500000000002, 0.001004999999999992, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.030074999999999963, 0.032930000000000126, 0.09343499999999999, 0.019360000000000002, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.027189999999999936, 0.030509999999999926, 0.06755499999999998, 0.02623500000000001, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.02787000000000006, 0.031260000000000066, 0.09926499999999998, 0.0010050000000000059, 1.3877787807814457e-17, 0.00917]]","[[7], [6]]"
9,"[[""1.727744567352425e9""], [""1.727744567352576e9""]]","[[""1.727744567434995e9""], [""1.72774456751842e9""]]","[[0.08256983757019043], [0.16584396362304688]]",0.16584396362304688,0.0028269290924072266,0.1686708927154541,"[0.015000000000000013, 0.0, 0.9802600000000001, 0.97442, 0.04700999999999999, 0.06927, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.98405, 0.9791000000000001, 0.032019999999999986, 0.060850000000000015, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9746599999999999, 0.9674799999999999, 0.05780499999999999, 0.06018500000000002, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.012079999999999869, 0.013539999999999996, 0.04201000000000001, 0.02323, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.005650000000000044, 0.005189999999999917, 0.027020000000000016, 0.010980000000000018, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.017080000000000095, 0.019630000000000147, 0.04280500000000002, 0.04231500000000002, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.01208000000000009, 0.013539999999999996, 0.04200999999999999, 0.02323, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.005649999999999933, 0.005190000000000028, 0.027019999999999985, 0.01097999999999999, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.017079999999999873, 0.019629999999999925, 0.04280499999999999, 0.04231499999999997, 1.3877787807814457e-17, 0.00917]]","[[8], [7]]"
10,"[[""1.727744567522041e9""], [""1.727744567522222e9""]]","[[""1.727744567605084e9""], [""1.72774456769876e9""]]","[[0.08304286003112793], [0.17653799057006836]]",0.17653799057006836,0.0027320384979248047,0.17927002906799316,"[0.015000000000000013, 0.0, 0.9932799999999999, 0.9869149999999999, 0.09424499999999998, 0.06546, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9968600000000001, 0.99219, 0.06442, 0.05638, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9824550000000001, 0.9738500000000001, 0.10779, 0.05235499999999999, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.007589999999999986, 0.008914999999999895, 0.089245, 0.001579999999999998, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.006740000000000079, 0.007269999999999999, 0.05942, 0.0005500000000000019, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0031450000000000644, 0.005380000000000051, 0.09279000000000001, 0.01593499999999999, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.007589999999999986, 0.008915000000000117, 0.08924499999999998, 0.001579999999999998, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.006739999999999968, 0.007269999999999999, 0.05942000000000001, 0.0005500000000000019, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0031449999999999534, 0.00537999999999994, 0.09279, 0.01593500000000001, 1.3877787807814457e-17, 0.00917]]","[[9], [8]]"
