Iteration,TX_Time,RX_Time,Delay,D_K,Delay_cc,T_K
1,"[[""1.727122785521353e9""], [""1.72712278552166e9""]]","[[""1.727122793889845e9""], [""1.727122797674969e9""]]","[[8.368491888046265], [12.153308868408203]]",0.4,0.21578311920166016,0.6157831192016602
2,"[[""1.72712279789121e9""], [""1.727122797891405e9""]]","[[""1.72712279801786e9""], [""1.727122798141907e9""]]","[[0.1266498565673828], [0.2505018711090088]]",0.2505018711090088,0.006492137908935547,0.25699400901794434
3,"[[""1.727122798148775e9""], [""1.72712279814896e9""]]","[[""1.7271227982261e9""], [""1.727122798449745e9""]]","[[0.07732486724853516], [0.3007848262786865]]",0.3007848262786865,0.006109952926635742,0.30689477920532227
4,"[[""1.727122798456318e9""], [""1.727122798456497e9""]]","[[""1.727122798527812e9""], [""1.727122798739866e9""]]","[[0.07149410247802734], [0.2833690643310547]]",0.2833690643310547,0.00677490234375,0.2901439666748047
5,"[[""1.727122798747332e9""], [""1.727122798747505e9""]]","[[""1.727122798832863e9""], [""1.727122799021941e9""]]","[[0.08553099632263184], [0.27443599700927734]]",0.27443599700927734,0.006273031234741211,0.28070902824401855
6,"[[""1.727122799028763e9""], [""1.727122799028968e9""]]","[[""1.727122799105786e9""], [""1.727122799311633e9""]]","[[0.07702302932739258], [0.2826650142669678]]",0.2826650142669678,0.006345987319946289,0.28901100158691406
7,"[[""1.727122799318601e9""], [""1.727122799318767e9""]]","[[""1.727122799412812e9""], [""1.727122799602055e9""]]","[[0.09421110153198242], [0.28328800201416016]]",0.28328800201416016,0.005964994430541992,0.28925299644470215
8,"[[""1.727122799608672e9""], [""1.727122799608837e9""]]","[[""1.727122799692888e9""], [""1.727122799899779e9""]]","[[0.08421611785888672], [0.2909421920776367]]",0.2909421920776367,0.009001970291137695,0.2999441623687744
9,"[[""1.727122799909659e9""], [""1.727122799909848e9""]]","[[""1.727122800007664e9""], [""1.727122800179701e9""]]","[[0.09800505638122559], [0.2698531150817871]]",0.2698531150817871,0.006495952606201172,0.2763490676879883
10,"[[""1.72712280018705e9""], [""1.727122800187248e9""]]","[[""1.727122800267761e9""], [""1.727122800441617e9""]]","[[0.08071088790893555], [0.25436902046203613]]",0.25436902046203613,0.006473064422607422,0.26084208488464355
11,"[[""1.727122800448967e9""], [""1.727122800449134e9""]]","[[""1.727122800629633e9""], [""1.727122800719704e9""]]","[[0.1806659698486328], [0.2705698013305664]]",0.2705698013305664,0.008134126663208008,0.2787039279937744
12,"[[""1.727122800728843e9""], [""1.727122800729045e9""]]","[[""1.727122800817937e9""], [""1.72712280097187e9""]]","[[0.08909392356872559], [0.24282503128051758]]",0.24282503128051758,0.006456136703491211,0.2492811679840088
13,"[[""1.727122800980179e9""], [""1.727122800980425e9""]]","[[""1.727122801052865e9""], [""1.727122801221716e9""]]","[[0.07268595695495605], [0.24129104614257812]]",0.24129104614257812,0.00516510009765625,0.24645614624023438
14,"[[""1.727122801229688e9""], [""1.727122801229861e9""]]","[[""1.727122801302732e9""], [""1.727122801489711e9""]]","[[0.0730440616607666], [0.25985002517700195]]",0.25985002517700195,0.004976987838745117,0.26482701301574707
15,"[[""1.727122801495689e9""], [""1.727122801495931e9""]]","[[""1.727122801576047e9""], [""1.727122801739731e9""]]","[[0.08035802841186523], [0.24380016326904297]]",0.24380016326904297,0.0062448978424072266,0.2500450611114502
16,"[[""1.727122801747212e9""], [""1.727122801747416e9""]]","[[""1.72712280182582e9""], [""1.727122801999895e9""]]","[[0.07860803604125977], [0.25247907638549805]]",0.25247907638549805,0.006083011627197266,0.2585620880126953
17,"[[""1.727122802007199e9""], [""1.727122802007385e9""]]","[[""1.727122802088116e9""], [""1.727122802260133e9""]]","[[0.0809168815612793], [0.2527480125427246]]",0.2527480125427246,0.006556987762451172,0.2593050003051758
18,"[[""1.727122802268091e9""], [""1.727122802268249e9""]]","[[""1.727122802337805e9""], [""1.727122802511984e9""]]","[[0.06971406936645508], [0.24373507499694824]]",0.24373507499694824,0.006306886672973633,0.2500419616699219
19,"[[""1.727122802520048e9""], [""1.727122802520247e9""]]","[[""1.727122802607734e9""], [""1.727122802761785e9""]]","[[0.08768606185913086], [0.24153804779052734]]",0.24153804779052734,0.007021903991699219,0.24855995178222656
20,"[[""1.727122802770569e9""], [""1.727122802770771e9""]]","[[""1.727122802852813e9""], [""1.727122803029644e9""]]","[[0.0822439193725586], [0.25887298583984375]]",0.25887298583984375,0.0066149234771728516,0.2654879093170166
21,"[[""1.727122803037834e9""], [""1.727122803038004e9""]]","[[""1.72712280313775e9""], [""1.727122803291923e9""]]","[[0.09991598129272461], [0.2539191246032715]]",0.2539191246032715,0.006646871566772461,0.26056599617004395
22,"[[""1.727122803300349e9""], [""1.727122803300591e9""]]","[[""1.727122803372903e9""], [""1.727122803541799e9""]]","[[0.07255411148071289], [0.24120807647705078]]",0.24120807647705078,0.006392002105712891,0.24760007858276367
23,"[[""1.727122803550071e9""], [""1.727122803550233e9""]]","[[""1.72712280364776e9""], [""1.727122803809744e9""]]","[[0.09768891334533691], [0.25951099395751953]]",0.25951099395751953,0.00855708122253418,0.2680680751800537
24,"[[""1.727122803820251e9""], [""1.727122803820678e9""]]","[[""1.727122803901694e9""], [""1.727122804061737e9""]]","[[0.08144307136535645], [0.2410590648651123]]",0.2410590648651123,0.006227016448974609,0.24728608131408691
