Iteration,TX_Time,RX_Time,Delay,D_K,Delay_cc,T_K,Z12
1,"[[""1.727467196197314e9""], [""1.727467196197616e9""]]","[[""1.727467205307577e9""], [""1.727467209214519e9""]]","[[9.110262870788574], [13.016902923583984]]",13.016902923583984,0.20740008354187012,13.224303007125854,"[0.025, 0.019200000000000002, 0.9863500000000001, 0.96745, 0.40075, 0.15915, 0.025, 0.019200000000000002, 0.025, 0.019200000000000002, 0.9873500000000001, 0.9681000000000001, 0.32955, 0.18255, 0.025, 0.019200000000000002, 0.025, 0.019200000000000002, 0.9909, 0.9705, 0.4222, 0.10255, 0.025, 0.019200000000000002]"
2,"[[""1.727467209422379e9""], [""1.727467209422608e9""]]","[[""1.727467209863306e9""], [""1.727467209676397e9""]]","[[0.44092702865600586], [0.25378918647766113]]",0.44092702865600586,0.008168935775756836,0.4490959644317627,"[0.014999999999999998, 0.009199999999999998, 0.9954000000000001, 0.9895499999999999, 0.007450000000000012, 0.08079999999999998, 0.014999999999999998, -1.9775847626135603e-18, 0.014999999999999998, 0.009199999999999998, 0.99515, 0.9880999999999999, 0.006599999999999995, 0.07815, 0.014999999999999998, -1.9775847626135603e-18, 0.014999999999999998, 0.009199999999999998, 0.99485, 0.9894499999999999, 0.016250000000000014, 0.06665, 0.014999999999999998, -1.9775847626135603e-18]"
3,"[[""1.727467209871926e9""], [""1.727467209872125e9""]]","[[""1.727467209973388e9""], [""1.727467210356372e9""]]","[[0.10146188735961914], [0.48424720764160156]]",0.48424720764160156,0.007523775100708008,0.49177098274230957,"[0.015, 0.0092, 1.00965, 1.0099999999999998, -0.18790000000000004, 0.05315, 0.015, -0.0092, 0.015, 0.0092, 1.0075, 1.00565, -0.1536, 0.039099999999999996, 0.015, -0.0092, 0.015, 0.0092, 1.01075, 1.0131999999999999, -0.185, 0.0547, 0.015, -0.00555]"
4,"[[""1.727467210364325e9""], [""1.727467210364503e9""]]","[[""1.727467210455468e9""], [""1.727467210656489e9""]]","[[0.09114289283752441], [0.29198598861694336]]",0.29198598861694336,0.010447025299072266,0.3024330139160156,"[0.015, 0.0092, 1.0115999999999998, 1.0132, -0.1889, 0.0388, 0.015, -0.0092, 0.015, 0.0092, 1.0085, 1.0080500000000001, -0.15585, 0.025500000000000002, 0.015, -0.0092, 0.015, 0.0092, 1.01765, 1.0201500000000001, -0.1859, 0.0487, 0.015, -0.00415]"
5,"[[""1.727467210667646e9""], [""1.727467210667919e9""]]","[[""1.727467210773824e9""], [""1.727467210956352e9""]]","[[0.10617804527282715], [0.2884330749511719]]",0.2884330749511719,0.008161067962646484,0.29659414291381836,"[0.015, 0.0092, 1.0071500000000002, 1.0069000000000001, -0.0935, 0.03425, 0.015, -0.0037, 0.015, 0.0092, 1.0047, 1.0039, -0.0761, 0.02345, 0.015, 0.0, 0.015, 0.0092, 1.0129000000000001, 1.01215, -0.08714999999999996, 0.04285, 0.015, 0.0002499999999999999]"
6,"[[""1.72746721096522e9""], [""1.72746721096541e9""]]","[[""1.727467211103423e9""], [""1.727467211246453e9""]]","[[0.13820314407348633], [0.28104305267333984]]",0.28104305267333984,0.007740974426269531,0.2887840270996094,"[0.015, 0.0092, 1.0025999999999997, 1.0007499999999998, 0.0014000000000000054, 0.029099999999999994, 0.015, 0.0008999999999999993, 0.015, 0.0092, 1.0026, 1.00065, 0.002700000000000001, 0.02475, 0.015, 0.004599999999999999, 0.015, 0.0092, 1.0055, 1.002, 0.011450000000000002, 0.0341, 0.015, 0.006899999999999998]"
7,"[[""1.7274672112548e9""], [""1.727467211255001e9""]]","[[""1.727467211343471e9""], [""1.727467211536831e9""]]","[[0.08867096900939941], [0.281829833984375]]",0.281829833984375,0.007668018341064453,0.28949785232543945,"[0.015, 0.0092, 0.9996500000000003, 0.9966999999999999, 0.05034999999999999, 0.0305, 0.015, 0.007349999999999999, 0.015, 0.0092, 1.0004, 0.9974499999999998, 0.043250000000000004, 0.030599999999999995, 0.015, 0.0092, 0.015, 0.0092, 1.0002499999999999, 0.9948499999999999, 0.06175, 0.034350000000000006, 0.015, 0.009200000000000002]"
8,"[[""1.727467211545202e9""], [""1.72746721154538e9""]]","[[""1.727467211733549e9""], [""1.727467211825687e9""]]","[[0.18834710121154785], [0.2803068161010742]]",0.2803068161010742,0.007657051086425781,0.2879638671875,"[0.015, 0.0092, 0.99805, 0.99495, 0.05184999999999999, 0.0344, 0.015, 0.0092, 0.015, 0.0092, 0.9980500000000001, 0.9947, 0.044399999999999995, 0.0359, 0.015, 0.0092, 0.015, 0.0092, 0.9963, 0.99045, 0.0628, 0.039349999999999996, 0.015, 0.009199999999999998]"
9,"[[""1.727467211834157e9""], [""1.727467211834347e9""]]","[[""1.727467211923405e9""], [""1.727467212106475e9""]]","[[0.0892479419708252], [0.2721281051635742]]",0.2721281051635742,0.008919000625610352,0.28104710578918457,"[0.015, 0.0092, 0.9982, 0.9954000000000001, 0.028999999999999998, 0.037649999999999996, 0.015, 0.0092, 0.015, 0.0092, 0.99655, 0.9932499999999999, 0.025149999999999992, 0.0388, 0.015, 0.0092, 0.015, 0.0092, 0.9943500000000001, 0.9887999999999999, 0.03920000000000001, 0.045, 0.015, 0.009200000000000002]"
10,"[[""1.727467212116414e9""], [""1.727467212116608e9""]]","[[""1.727467212373549e9""], [""1.727467212378736e9""]]","[[0.25713491439819336], [0.2621281147003174]]",0.2621281147003174,0.008436918258666992,0.2705650329589844,"[0.015, 0.0092, 0.9991, 0.9968000000000001, 0.005399999999999999, 0.03875, 0.015, 0.0092, 0.015, 0.0092, 0.9968999999999999, 0.9937500000000001, 0.005300000000000003, 0.03944999999999999, 0.015, 0.0092, 0.015, 0.0092, 0.9939, 0.98875, 0.015249999999999996, 0.04865, 0.015, 0.009199999999999998]"
