Iteration,TX_Time,RX_Time,Delay_process,Delay,D_K,Delay_cc,T_K,Z12,Primal_Residual,LocalUpdate,GlobalUpdate
1,"[[""1.730156257499573e9""], [""1.730156257499764e9""]]","[[""1.730156264138491e9""], [""1.730156264139597e9""]]","[Float64[], Float64[]]","[[0.5], [0.5]]",0.5,0.20395803451538086,0.7039580345153809,"[1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998]","[[0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787], [0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787]]","[Int64[], Int64[]]",NA
2,"[[""1.730156264343857e9""], [""1.730156264343994e9""]]","[[""1.73015626498509e9""], [""1.730156264985973e9""]]","[Float64[], Float64[]]","[[0.5], [0.5]]",0.5,0.0010180473327636719,0.5010180473327637,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[Int64[], Int64[]]",NA
3,"[[""1.730156264987175e9""], [""1.730156264987296e9""]]","[[""1.730156265074484e9""], [""1.730156265420382e9""]]","[[0.02281], [0.08204]]","[[0.08730912208557129], [0.43308591842651367]]",0.43308591842651367,0.0002570152282714844,0.43334293365478516,"[0.015000000000000213, 0.009170000000000211, 0.9783700000000002, 0.9594850000000003, 0.3942250000000002, 0.14845500000000023, 0.015000000000000213, 0.009170000000000211, 0.015000000000000213, 0.009170000000000211, 0.9790600000000002, 0.9597800000000002, 0.32185000000000025, 0.17206000000000024, 0.015000000000000213, 0.009170000000000211, 0.015000000000000213, 0.009170000000000211, 0.9845100000000002, 0.9640650000000003, 0.41584500000000024, 0.09103000000000022, 0.015000000000000213, 0.009170000000000211]","[[2.1337098754514727e-16, 2.1163626406917047e-16, 0.043010000000000215, 0.056985000000000285, 0.38922499999999977, 0.07428499999999977, 2.1337098754514727e-16, 2.1163626406917047e-16, 2.1337098754514727e-16, 2.1163626406917047e-16, 0.04388000000000014, 0.05728000000000022, 0.3168499999999998, 0.09788999999999978, 2.1337098754514727e-16, 2.1163626406917047e-16, 2.1337098754514727e-16, 2.1163626406917047e-16, 0.049180000000000224, 0.061565000000000314, 0.4008449999999998, 0.006859999999999783, 2.1337098754514727e-16, 2.1163626406917047e-16], [2.1337098754514727e-16, 2.1163626406917047e-16, 0.04300999999999977, 0.05698499999999973, 0.3892250000000002, 0.07428500000000023, 2.1337098754514727e-16, 2.1163626406917047e-16, 2.1337098754514727e-16, 2.1163626406917047e-16, 0.04387999999999981, 0.05727999999999989, 0.31685000000000024, 0.09789000000000024, 2.1337098754514727e-16, 2.1163626406917047e-16, 2.1337098754514727e-16, 2.1163626406917047e-16, 0.04917999999999978, 0.06156499999999976, 0.40084500000000023, 0.006860000000000227, 2.1337098754514727e-16, 2.1163626406917047e-16]]","[[1], [1]]",1
4,"[[""1.730156265420818e9""], [""1.730156265420938e9""]]","[[""1.730156265656939e9""], [""1.730156265580008e9""]]","[[0.02724], [0.07294]]","[[0.23612093925476074], [0.15907001495361328]]",0.23612093925476074,0.0003218650817871094,0.23644280433654785,"[0.015, 0.009165, 0.99225, 0.9867399999999998, 0.0025600000000000067, 0.07740499999999997, 0.015, -4.999999999998166e-6, 0.015, 0.009165, 0.992275, 0.9855050000000001, 0.002615000000000006, 0.07477499999999998, 0.015, -4.999999999998166e-6, 0.015, 0.009165, 0.9954, 0.9905599999999999, 0.011410000000000003, 0.062545, 0.015, -4.999999999998166e-6]","[[0.0, 4.999999999999796e-6, 1.0000000000065512e-5, 0.0011100000000001664, 0.002440000000000007, 0.015094999999999976, 0.0, 0.009164999999999998, 0.0, 4.999999999999796e-6, 0.0010149999999999881, 0.0011149999999999771, 0.002385000000000006, 0.017724999999999984, 0.0, 0.009164999999999998, 0.0, 4.999999999999796e-6, 0.0045999999999999375, 0.004859999999999864, 0.003590000000000003, 0.003285000000000003, 0.0, 0.009164999999999998], [0.0, 4.999999999999796e-6, 9.99999999995449e-6, 0.0011099999999998333, 0.0024399999999999934, 0.015095000000000025, 0.0, 0.009165000000000001, 0.0, 4.999999999999796e-6, 0.0010149999999999881, 0.0011150000000000881, 0.002384999999999994, 0.01772500000000002, 0.0, 0.009165000000000001, 0.0, 4.999999999999796e-6, 0.0046000000000000485, 0.0048600000000000865, 0.003589999999999996, 0.0032849999999999963, 0.0, 0.009165000000000001]]","[[2], [2]]",2
5,"[[""1.730156265657455e9""], [""1.730156265657566e9""]]","[[""1.730156265736071e9""], [""1.730156265830083e9""]]","[[0.02814], [0.08144]]","[[0.07861614227294922], [0.1725168228149414]]",0.1725168228149414,0.0002582073211669922,0.1727750301361084,"[0.015, 0.009165000000000001, 1.00913, 1.009205, -0.189905, 0.054965, 0.015, -0.009165, 0.015, 0.009165000000000001, 1.00696, 1.004835, -0.15364000000000003, 0.040205000000000005, 0.015, -0.009165, 0.015, 0.009165000000000001, 1.01099, 1.014035, -0.18727, 0.05212499999999999, 0.015, -0.00309]","[[0.0, 4.9999999999980616e-6, 0.005709999999999882, 0.012515000000000054, 0.194905, 0.037535, 0.0, 4.999999999999796e-6, 0.0, 4.9999999999980616e-6, 0.003889999999999949, 0.011175000000000157, 0.15863999999999998, 0.05229500000000001, 0.0, 4.999999999999796e-6, 0.0, 4.9999999999980616e-6, 0.008059999999999956, 0.01403500000000002, 0.20227, 0.00156499999999999, 0.0, 0.00607], [0.0, 5.000000000001531e-6, 0.005710000000000104, 0.012514999999999943, 0.194905, 0.037535, 0.0, 4.999999999999796e-6, 0.0, 5.000000000001531e-6, 0.003890000000000171, 0.011174999999999935, 0.15864000000000003, 0.052294999999999994, 0.0, 4.999999999999796e-6, 0.0, 5.000000000001531e-6, 0.008059999999999956, 0.01403500000000002, 0.20227, 0.0015650000000000108, 0.0, 0.00607]]","[[3], [3]]",3
6,"[[""1.730156265830518e9""], [""1.730156265830643e9""]]","[[""1.730156265924326e9""], [""1.730156265990046e9""]]","[[0.0217], [0.07913]]","[[0.09380793571472168], [0.15940308570861816]]",0.15940308570861816,0.0002770423889160156,0.15968012809753418,"[0.015, 0.009165, 1.01106, 1.0123400000000002, -0.18826, 0.041295000000000005, 0.015, -0.009170000000000001, 0.015, 0.009165, 1.007925, 1.007235, -0.15465, 0.027379999999999995, 0.015, -0.00884, 0.015, 0.009165, 1.017775, 1.0205700000000002, -0.18545, 0.04719999999999999, 0.015, -0.0011400000000000006]","[[0.0, 4.999999999999796e-6, 0.002610000000000001, 0.007619999999999738, 0.19326000000000002, 0.014535000000000006, 0.0, 1.734723475976807e-18, 0.0, 4.999999999999796e-6, 0.0003949999999999232, 0.003794999999999993, 0.15965000000000001, 0.027799999999999995, 0.0, 0.0003299999999999987, 0.0, 4.999999999999796e-6, 0.003944999999999865, 0.01150999999999991, 0.20045000000000002, 0.005569999999999992, 0.0, 0.005039999999999999], [0.0, 4.999999999999796e-6, 0.002610000000000001, 0.007620000000000182, 0.19326000000000002, 0.014534999999999992, 0.0, 1.734723475976807e-18, 0.0, 4.999999999999796e-6, 0.00039500000000014523, 0.003794999999999993, 0.15965000000000001, 0.027800000000000005, 0.0, 0.00033000000000000043, 0.0, 4.999999999999796e-6, 0.003945000000000087, 0.011510000000000131, 0.20045000000000002, 0.0055700000000000055, 0.0, 0.00504]]","[[4], [4]]",4
7,"[[""1.730156265990627e9""], [""1.730156265990755e9""]]","[[""1.730156266072115e9""], [""1.730156266160128e9""]]","[[0.02264], [0.0754]]","[[0.08148789405822754], [0.1693730354309082]]",0.1693730354309082,0.00025177001953125,0.16962480545043945,"[0.015, 0.009165, 1.006955, 1.006425, -0.091865, 0.036505, 0.015, -0.004399999999999998, 0.015, 0.009165, 1.00472, 1.00367, -0.07495, 0.024780000000000003, 0.015, 0.0, 0.015, 0.009165, 1.012785, 1.01225, -0.085535, 0.04173, 0.015, 0.003965]","[[0.0, 4.999999999999796e-6, 0.0012250000000000316, 0.0016249999999999876, 0.096865, 0.009795000000000002, 0.0, 0.004770000000000002, 0.0, 4.999999999999796e-6, 0.002930000000000099, 0.0012499999999999734, 0.07995000000000001, 0.012720000000000004, 0.0, 0.00917, 0.0, 4.999999999999796e-6, 0.004105000000000025, 0.00026999999999999247, 0.10053500000000001, 0.0078100000000000044, 0.0, 0.003165], [0.0, 4.999999999999796e-6, 0.0012250000000000316, 0.0016249999999999876, 0.096865, 0.009794999999999998, 0.0, 0.004769999999999997, 0.0, 4.999999999999796e-6, 0.002929999999999877, 0.0012499999999999734, 0.07995000000000001, 0.012719999999999995, 0.0, 0.00917, 0.0, 4.999999999999796e-6, 0.004105000000000025, 0.00026999999999999247, 0.100535, 0.0078099999999999975, 0.0, 0.0031650000000000003]]","[[5], [5]]",5
8,"[[""1.730156266160548e9""], [""1.730156266160656e9""]]","[[""1.730156266244333e9""], [""1.730156266340424e9""]]","[[0.02678], [0.0782]]","[[0.0837850570678711], [0.17976808547973633]]",0.17976808547973633,0.0002529621124267578,0.18002104759216309,"[0.015, 0.009165, 1.00249, 1.00048, 0.0027650000000000036, 0.03065, 0.015, -0.0005200000000000001, 0.015, 0.009165, 1.0025549999999999, 1.0006400000000002, 0.003155000000000012, 0.025014999999999996, 0.015, 0.00475, 0.015, 0.009165, 1.005445, 1.001925, 0.012849999999999993, 0.033905000000000005, 0.015, 0.00912]","[[0.0, 4.999999999999796e-6, 0.0046400000000000885, 0.0042400000000000215, 0.0022350000000000035, 0.00826, 0.0, 0.008280000000000001, 0.0, 4.999999999999796e-6, 0.003814999999999902, 0.0028000000000002467, 0.001845000000000012, 0.012484999999999996, 0.0, 0.00442, 0.0, 4.999999999999796e-6, 0.008584999999999954, 0.0071350000000000025, 0.002149999999999994, 0.013595000000000003, 0.0, 4.99999999999997e-5], [0.0, 4.999999999999796e-6, 0.0046399999999999775, 0.0042400000000000215, 0.0022349999999999965, 0.00826, 0.0, 0.008280000000000001, 0.0, 4.999999999999796e-6, 0.003815000000000124, 0.0027999999999999137, 0.0018449999999999881, 0.012485000000000003, 0.0, 0.0044199999999999995, 0.0, 4.999999999999796e-6, 0.008585000000000065, 0.0071350000000001135, 0.002150000000000006, 0.013594999999999996, 0.0, 4.99999999999997e-5]]","[[6], [6]]",6
9,"[[""1.730156266340862e9""], [""1.730156266340976e9""]]","[[""1.730156266453855e9""], [""1.730156266510392e9""]]","[[0.02504], [0.07848]]","[[0.11299300193786621], [0.16941595077514648]]",0.16941595077514648,0.0002410411834716797,0.16965699195861816,"[0.015, 0.009164999999999998, 0.9995449999999999, 0.9966099999999999, 0.05079, 0.030869999999999998, 0.015, 0.006265, 0.015, 0.009164999999999998, 1.0007650000000001, 0.9979449999999999, 0.04318999999999999, 0.030305, 0.015, 0.00917, 0.015, 0.009164999999999998, 1.000075, 0.9946349999999999, 0.06236499999999999, 0.034595, 0.015, 0.00917]","[[0.0, 5.000000000001531e-6, 0.005724999999999869, 0.006429999999999936, 0.04579, 0.006629999999999997, 0.0, 0.0029049999999999996, 0.0, 5.000000000001531e-6, 0.005605000000000082, 0.005474999999999897, 0.03819, 0.007195, 0.0, 0.0, 0.0, 5.000000000001531e-6, 0.01077500000000009, 0.011174999999999935, 0.047365000000000004, 0.012905, 0.0, 0.0], [0.0, 4.9999999999980616e-6, 0.005725000000000202, 0.006430000000000047, 0.045790000000000004, 0.0066300000000000005, 0.0, 0.0029049999999999996, 0.0, 4.9999999999980616e-6, 0.00560499999999986, 0.005475000000000119, 0.038189999999999995, 0.007195, 0.0, 0.0, 0.0, 4.9999999999980616e-6, 0.010774999999999979, 0.011175000000000157, 0.04736499999999999, 0.012905, 0.0, 0.0]]","[[7], [7]]",7
10,"[[""1.730156266510824e9""], [""1.730156266510934e9""]]","[[""1.730156266594166e9""], [""1.730156266669996e9""]]","[[0.02147], [0.07476]]","[[0.08334207534790039], [0.15906190872192383]]",0.15906190872192383,0.00023698806762695312,0.15929889678955078,"[0.015, 0.009165000000000001, 0.99836, 0.9952350000000001, 0.051719999999999995, 0.034095, 0.015, 0.00917, 0.015, 0.009165000000000001, 0.9982299999999998, 0.9950000000000001, 0.04404999999999999, 0.035309999999999994, 0.015, 0.00917, 0.015, 0.009165000000000001, 0.9961649999999999, 0.9902200000000001, 0.062725, 0.039635, 0.015, 0.00917]","[[0.0, 4.9999999999980616e-6, 0.005299999999999971, 0.006195000000000062, 0.046720000000000005, 0.0034050000000000018, 0.0, 0.0, 0.0, 4.9999999999980616e-6, 0.0047199999999998354, 0.0050000000000001155, 0.03905, 0.0021899999999999975, 0.0, 0.0, 0.0, 4.9999999999980616e-6, 0.008874999999999855, 0.009780000000000122, 0.047725000000000004, 0.007864999999999997, 0.0, 0.0], [0.0, 5.000000000001531e-6, 0.005299999999999971, 0.0061949999999999505, 0.04672, 0.0034049999999999983, 0.0, 0.0, 0.0, 5.000000000001531e-6, 0.0047200000000001685, 0.004999999999999893, 0.039049999999999994, 0.0021900000000000044, 0.0, 0.0, 0.0, 5.000000000001531e-6, 0.008875000000000077, 0.0097799999999999, 0.047725000000000004, 0.007865000000000004, 0.0, 0.0]]","[[8], [8]]",8
