Iteration,TX_Time,RX_Time,Delay,D_K,Delay_cc,T_K,Z12
1,"[[""1.727475807792439e9""], [""1.727475807792713e9""]]","[[""1.727475815661813e9""], [""1.727475822280665e9""]]","[[7.86937403678894], [14.48795199394226]]",14.48795199394226,0.2577371597290039,14.745689153671265,"[0.025, 0.01917, 0.98631, 0.9674250000000001, 0.40074, 0.159145, 0.025, 0.01917, 0.025, 0.01917, 0.9873599999999999, 0.968085, 0.32955, 0.182535, 0.025, 0.01917, 0.025, 0.01917, 0.9909250000000001, 0.9704849999999999, 0.422205, 0.10255, 0.025, 0.01917]"
2,"[[""1.727475822538856e9""], [""1.72747582253907e9""]]","[[""1.727475823829655e9""], [""1.727475822809184e9""]]","[[1.2907989025115967], [0.2701141834259033]]",1.2907989025115967,0.010244131088256836,1.3010430335998535,"[0.014999999999999998, 0.00917, 0.9954000000000001, 0.989525, 0.007459999999999994, 0.080765, 0.014999999999999998, 0.0, 0.014999999999999998, 0.00917, 0.99513, 0.988115, 0.006605, 0.07815999999999997, 0.014999999999999998, 0.0, 0.014999999999999998, 0.00917, 0.99488, 0.9894799999999999, 0.016229999999999967, 0.06662499999999999, 0.014999999999999998, 0.0]"
3,"[[""1.727475823840271e9""], [""1.727475823840471e9""]]","[[""1.72747582393256e9""], [""1.727475824128586e9""]]","[[0.09228897094726562], [0.2881150245666504]]",0.2881150245666504,0.01223301887512207,0.30034804344177246,"[0.015, 0.009165, 1.009685, 1.0100099999999999, -0.187905, 0.053165, 0.015, -0.009165, 0.015, 0.009165, 1.0075, 1.00565, -0.1536, 0.03912500000000001, 0.015, -0.009165, 0.015, 0.009165, 1.010765, 1.0132050000000001, -0.18503, 0.054655, 0.015, -0.0055249999999999995]"
4,"[[""1.727475824141333e9""], [""1.727475824141508e9""]]","[[""1.727475824249543e9""], [""1.727475824418552e9""]]","[[0.10820984840393066], [0.27704381942749023]]",0.27704381942749023,0.012025117874145508,0.28906893730163574,"[0.015, 0.009165, 1.011605, 1.0132050000000001, -0.18888, 0.038759999999999996, 0.015, -0.00917, 0.015, 0.009165, 1.0084899999999999, 1.0081000000000002, -0.15587499999999999, 0.025515000000000017, 0.015, -0.00917, 0.015, 0.009165, 1.01767, 1.02011, -0.18587499999999998, 0.04864500000000001, 0.015, -0.00411]"
5,"[[""1.727475824431149e9""], [""1.727475824431325e9""]]","[[""1.727475824529628e9""], [""1.727475824708897e9""]]","[[0.09847903251647949], [0.2775721549987793]]",0.2775721549987793,0.012485980987548828,0.2900581359863281,"[0.015, 0.009165, 1.0071749999999997, 1.0069299999999999, -0.09349, 0.03421, 0.015, -0.0036699999999999997, 0.015, 0.009165, 1.004725, 1.00386, -0.076155, 0.023464999999999996, 0.015, 0.0, 0.015, 0.009165, 1.012885, 1.012155, -0.08711, 0.04279499999999999, 0.015, 0.0003350000000000001]"
6,"[[""1.727475824721968e9""], [""1.727475824722163e9""]]","[[""1.727475824829613e9""], [""1.72747582499858e9""]]","[[0.10764503479003906], [0.2764170169830322]]",0.2764170169830322,0.011683940887451172,0.2881009578704834,"[0.015, 0.009165, 1.0026100000000002, 1.00079, 0.0014050000000000035, 0.029080000000000005, 0.015, 0.0009149999999999996, 0.015, 0.009165, 1.0025849999999998, 1.00066, 0.002704999999999999, 0.024754999999999996, 0.015, 0.004585, 0.015, 0.009165, 1.005515, 1.0019900000000002, 0.011435000000000008, 0.034115, 0.015, 0.006975]"
7,"[[""1.727475825010978e9""], [""1.727475825011162e9""]]","[[""1.727475825104467e9""], [""1.727475825288557e9""]]","[[0.09348893165588379], [0.27739500999450684]]",0.27739500999450684,0.012245893478393555,0.2896409034729004,"[0.015, 0.009165, 0.999625, 0.9967349999999999, 0.050324999999999995, 0.030484999999999998, 0.015, 0.00733, 0.015, 0.009165, 1.0003400000000002, 0.9974499999999998, 0.043295, 0.030579999999999996, 0.015, 0.00916, 0.015, 0.009165, 1.00021, 0.994835, 0.06172, 0.03436500000000001, 0.015, 0.00917]"
8,"[[""1.727475825301699e9""], [""1.727475825301881e9""]]","[[""1.727475825388574e9""], [""1.727475825578642e9""]]","[[0.08687496185302734], [0.2767608165740967]]",0.2767608165740967,0.01225900650024414,0.2890198230743408,"[0.015, 0.009165, 0.9980450000000001, 0.994895, 0.05184999999999999, 0.03441999999999999, 0.015, 0.00917, 0.015, 0.009165, 0.99803, 0.994695, 0.04440499999999999, 0.035885, 0.015, 0.00917, 0.015, 0.009165, 0.996315, 0.99044, 0.062855, 0.0393, 0.015, 0.00917]"
9,"[[""1.727475825591811e9""], [""1.727475825592005e9""]]","[[""1.727475825679631e9""], [""1.727475825869063e9""]]","[[0.08782005310058594], [0.2770578861236572]]",0.2770578861236572,0.009797096252441406,0.28685498237609863,"[0.015, 0.009165, 0.9982249999999999, 0.995395, 0.02903, 0.03767500000000001, 0.015, 0.00917, 0.015, 0.009165, 0.99656, 0.9932249999999999, 0.025185, 0.03882000000000001, 0.015, 0.00917, 0.015, 0.009165, 0.9943649999999999, 0.98878, 0.03921000000000001, 0.04498999999999999, 0.015, 0.00917]"
10,"[[""1.727475825879656e9""], [""1.727475825879813e9""]]","[[""1.727475826019634e9""], [""1.727475826138428e9""]]","[[0.13997793197631836], [0.25861501693725586]]",0.25861501693725586,0.010141134262084961,0.2687561511993408,"[0.015, 0.009165, 0.99911, 0.996805, 0.005415000000000003, 0.038794999999999996, 0.015, 0.00917, 0.015, 0.009165, 0.996915, 0.9937650000000001, 0.005344999999999999, 0.039479999999999994, 0.015, 0.00917, 0.015, 0.009165, 0.993895, 0.988765, 0.015269999999999995, 0.04866, 0.015, 0.00917]"
