Iteration,TX_Time,RX_Time,Delay_process,Delay,D_K,Delay_cc,T_K,Z12,Primal_Residual,LocalUpdate,GlobalUpdate
1,"[[""1.727897274646938e9""], [""1.727897274647146e9""]]","[[""1.727897281164634e9""], [""1.727897281165527e9""]]","[Float64[], Float64[]]","[[0.15], [0.15]]",0.15,0.19184398651123047,0.3418439865112305,"[1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998]","[[0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787], [0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787]]","[Int64[], Int64[]]",NA
2,"[[""1.72789728135763e9""], [""1.727897281357757e9""]]","[[""1.727897281856731e9""], [""1.727897281494303e9""]]","[Float64[], [0.07218]]","[[0.15], [0.13654589653015137]]",0.15,0.0009291172027587891,0.15092911720275878,"[0.5075000000000002, 0.5045850000000002, 1.011225, 1.008775, 0.5025000000000002, 0.5370850000000003, 0.5075000000000002, 0.5045850000000002, 0.5075000000000002, 0.5045850000000002, 1.0122750000000003, 1.0093400000000001, 0.5025000000000002, 0.5370850000000003, 0.5075000000000002, 0.5045850000000002, 0.5075000000000002, 0.5045850000000002, 1.0170150000000002, 1.012985, 0.5075000000000002, 0.5420850000000003, 0.5075000000000002, 0.5045850000000002]","[[0.4924999999999998, 0.4954149999999998, 0.01122500000000004, 0.008774999999999977, 0.49749999999999983, 0.46291499999999974, 0.4924999999999998, 0.4954149999999998, 0.4924999999999998, 0.4954149999999998, 0.012275000000000258, 0.009340000000000126, 0.49749999999999983, 0.46291499999999974, 0.4924999999999998, 0.4954149999999998, 0.4924999999999998, 0.4954149999999998, 0.017015000000000224, 0.012985000000000024, 0.4924999999999998, 0.45791499999999974, 0.4924999999999998, 0.4954149999999998], [0.49250000000000016, 0.49541500000000016, 0.01122500000000004, 0.008774999999999977, 0.49750000000000016, 0.46291500000000024, 0.49250000000000016, 0.49541500000000016, 0.49250000000000016, 0.49541500000000016, 0.012274999999999814, 0.009339999999999904, 0.49750000000000016, 0.46291500000000024, 0.49250000000000016, 0.49541500000000016, 0.49250000000000016, 0.49541500000000016, 0.01701499999999978, 0.012985000000000024, 0.49250000000000016, 0.4579150000000003, 0.49250000000000016, 0.49541500000000016]]","[Int64[], [1]]",1
3,"[[""1.727897281857816e9""], [""1.727897281857929e9""]]","[[""1.72789728195236e9""], String[]]","[[0.02317], Float64[]]","[[0.0945439338684082], Float64[]]",0.0945439338684082,0.0010671615600585938,0.0956110954284668,"[0.015000000000000069, 0.009170000000000067, 0.9789050000000002, 0.9600250000000002, 0.397715, 0.14776499999999992, 0.015000000000000069, 0.009170000000000067, 0.015000000000000069, 0.009170000000000067, 0.9798650000000001, 0.9605900000000002, 0.32415, 0.17158499999999988, 0.015000000000000069, 0.009170000000000067, 0.015000000000000069, 0.009170000000000067, 0.98468, 0.9642350000000003, 0.41949000000000003, 0.08950999999999992, 0.015000000000000069, 0.009170000000000067]","[[6.938893903907228e-17, 6.765421556309548e-17, 0.04354500000000028, 0.05752500000000027, 0.392715, 0.07359500000000008, 6.938893903907228e-17, 6.765421556309548e-17, 6.938893903907228e-17, 6.765421556309548e-17, 0.044685000000000086, 0.0580900000000002, 0.31915, 0.09741500000000014, 6.938893903907228e-17, 6.765421556309548e-17, 6.938893903907228e-17, 6.765421556309548e-17, 0.049350000000000005, 0.06173500000000032, 0.40449, 0.005340000000000081, 6.938893903907228e-17, 6.765421556309548e-17], [6.938893903907228e-17, 6.765421556309548e-17, 0.043544999999999834, 0.057524999999999715, 0.392715, 0.07359499999999992, 6.938893903907228e-17, 6.765421556309548e-17, 6.938893903907228e-17, 6.765421556309548e-17, 0.044684999999999975, 0.058089999999999864, 0.31915, 0.09741499999999988, 6.938893903907228e-17, 6.765421556309548e-17, 6.938893903907228e-17, 6.765421556309548e-17, 0.049350000000000005, 0.06173499999999976, 0.40449, 0.005339999999999928, 6.938893903907228e-17, 6.765421556309548e-17]]","[[1], Int64[]]",2
4,"[[""1.727897281953567e9""], [""1.727897281953681e9""]]","[[""1.727897281977269e9"", ""1.72789728203234e9""], [""1.727897282304198e9""]]","[[0.02951, 0.03234], Float64[]]","[[0.023701906204223633, 0.07877302169799805], [0.15]]",0.15,0.0009560585021972656,0.15095605850219726,"[0.014999999999999986, 0.0, 1.0451249999999999, 1.060025, -0.2263299999999999, -0.1106, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 1.046045, 1.06059, -0.22596999999999995, -0.13004999999999994, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 1.050845, 1.064235, -0.22610999999999984, -0.09528500000000001, 0.014999999999999986, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.022675000000000223, 0.04247500000000004, 0.23133000000000012, 0.18477000000000002, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.021495000000000042, 0.041910000000000114, 0.23097000000000006, 0.20422000000000007, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.016815000000000024, 0.03826499999999999, 0.24111000000000019, 0.17945499999999998, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.02267499999999978, 0.04247500000000004, 0.2313299999999999, 0.18477, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.02149499999999982, 0.04190999999999989, 0.23096999999999995, 0.20421999999999996, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.016815000000000024, 0.03826499999999999, 0.24110999999999982, 0.179455, 1.3877787807814457e-17, 0.00917]]","[[2, 3], Int64[]]",3
5,"[[""1.727897282305291e9""], [""1.727897282305414e9""]]","[String[], [""1.727897282362167e9""]]","[Float64[], [0.06554]]","[Float64[], [0.056752920150756836]]",0.056752920150756836,0.001074075698852539,0.057826995849609375,"[0.014999999999999986, 0.0, 1.0249750000000002, 1.03911, -0.22633, -0.10143500000000001, 0.014999999999999986, -0.009170000000000011, 0.014999999999999986, 0.0, 1.024815, 1.03824, -0.22597, -0.12088499999999998, 0.014999999999999986, -0.009170000000000011, 0.014999999999999986, 0.0, 1.027555, 1.0414400000000001, -0.22611, -0.095285, 0.014999999999999986, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.04282499999999989, 0.06339000000000006, 0.23133, 0.19393500000000002, 1.3877787807814457e-17, 1.214306433183765e-17, 1.3877787807814457e-17, 0.00917, 0.0427249999999999, 0.06425999999999998, 0.23097, 0.21338500000000005, 1.3877787807814457e-17, 1.214306433183765e-17, 1.3877787807814457e-17, 0.00917, 0.04010500000000006, 0.06105999999999989, 0.24111000000000002, 0.17945499999999998, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.042825000000000224, 0.06338999999999995, 0.23133, 0.19393500000000002, 1.3877787807814457e-17, 1.214306433183765e-17, 1.3877787807814457e-17, 0.00917, 0.04272500000000001, 0.0642600000000001, 0.23097, 0.213385, 1.3877787807814457e-17, 1.214306433183765e-17, 1.3877787807814457e-17, 0.00917, 0.040104999999999946, 0.061060000000000114, 0.24111, 0.17945499999999998, 1.3877787807814457e-17, 0.00917]]","[Int64[], [2]]",4
6,"[[""1.727897282363383e9""], [""1.727897282363488e9""]]","[[""1.727897282471089e9""], [""1.727897282444315e9""]]","[[0.02397], [0.08282]]","[[0.10770583152770996], [0.08082699775695801]]",0.10770583152770996,0.0012202262878417969,0.10892605781555176,"[0.014999999999999986, 0.0, 1.04733, 1.062225, -0.40562, -0.0728, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 1.048325, 1.0628700000000002, -0.348135, -0.10499499999999998, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 1.053115, 1.0665099999999998, -0.41143, -0.018510000000000006, 0.014999999999999986, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.020469999999999988, 0.04027500000000006, 0.41062, 0.14697, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.019214999999999982, 0.03962999999999983, 0.353135, 0.17916500000000005, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.01454500000000003, 0.03599000000000019, 0.42643000000000003, 0.10268, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.020469999999999988, 0.04027500000000006, 0.41062, 0.14697, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.019214999999999982, 0.039630000000000276, 0.353135, 0.17916499999999996, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.01454500000000003, 0.035989999999999744, 0.42643000000000003, 0.10268, 1.3877787807814457e-17, 0.00917]]","[[4], [3]]",5
7,"[[""1.727897282472516e9""], [""1.727897282472622e9""]]","[[""1.727897282497707e9""], [""1.72789728253428e9""]]","[[0.02544], [0.07875]]","[[0.02519083023071289], [0.06165814399719238]]",0.06165814399719238,0.0011339187622070312,0.06279206275939941,"[0.014999999999999986, 0.0, 1.046595, 1.061, -0.31887, -0.081085, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 1.0332899999999998, 1.0447699999999998, -0.279065, -0.10091000000000006, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 1.044735, 1.059565, -0.31237, -0.06108000000000001, 0.014999999999999986, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.018995000000000095, 0.0381800000000001, 0.32387, 0.13847500000000001, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0161300000000002, 0.030560000000000143, 0.284065, 0.14060999999999996, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.020774999999999988, 0.039714999999999945, 0.32737, 0.10858, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.018994999999999873, 0.03817999999999988, 0.32387, 0.13847500000000001, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.016129999999999756, 0.0305599999999997, 0.284065, 0.14061000000000007, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.020774999999999988, 0.03971500000000017, 0.32737, 0.10858000000000001, 1.3877787807814457e-17, 0.00917]]","[[5], [4]]",6
8,"[[""1.727897282535554e9""], [""1.727897282535679e9""]]","[[""1.727897282546971e9""], [""1.72789728260421e9""]]","[[0.02349], [0.07292]]","[[0.011417150497436523], [0.06853079795837402]]",0.06853079795837402,0.001062154769897461,0.06959295272827148,"[0.014999999999999986, 0.0, 1.03505, 1.0415050000000001, -0.20543000000000003, -0.009035000000000001, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 1.0263300000000002, 1.02874, -0.165995, -0.012379999999999974, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 1.03003, 1.03471, -0.19494999999999998, 0.017470000000000006, 0.014999999999999986, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.006359999999999921, 0.0023249999999999105, 0.21042999999999998, 0.046535, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.013160000000000283, 0.007800000000000029, 0.170995, 0.04988000000000003, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.003249999999999975, 0.006469999999999976, 0.20995, 0.030030000000000008, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.006359999999999921, 0.0023250000000001325, 0.21043000000000003, 0.046535, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.013159999999999838, 0.007800000000000029, 0.170995, 0.04987999999999997, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.003249999999999975, 0.006469999999999976, 0.20994999999999997, 0.030029999999999994, 1.3877787807814457e-17, 0.00917]]","[[6], [5]]",7
9,"[[""1.727897282605416e9""], [""1.727897282605527e9""]]","[[""1.727897282612263e9""], [""1.727897282674291e9""]]","[[0.02826], [0.07004]]","[[0.006846904754638672], [0.06876397132873535]]",0.06876397132873535,0.0011050701141357422,0.0698690414428711,"[0.014999999999999986, 0.0, 1.03146, 1.0292149999999998, -0.002549999999999941, 0.047735, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 1.0125449999999998, 1.00637, 0.006984999999999991, 0.05600999999999999, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 1.015325, 1.0115299999999998, 0.01832499999999998, 0.044635, 0.014999999999999986, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.03756000000000004, 0.0375749999999998, 0.007550000000000058, 0.010235000000000001, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.03372499999999978, 0.03695000000000004, 0.0019850000000000093, 0.018510000000000013, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.022434999999999983, 0.02118999999999982, 0.003325000000000019, 0.0028649999999999995, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.03756000000000004, 0.037575000000000136, 0.007549999999999941, 0.010235000000000001, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.03372500000000023, 0.03695000000000004, 0.001984999999999991, 0.018509999999999992, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.022434999999999983, 0.021190000000000264, 0.0033249999999999807, 0.0028649999999999995, 1.3877787807814457e-17, 0.00917]]","[[7], [6]]",8
10,"[[""1.727897282675538e9""], [""1.727897282675887e9""]]","[[""1.727897282677275e9""], [""1.727897282749058e9""]]","[[0.02489], [0.07492]]","[[0.0017368793487548828], [0.07317090034484863]]",0.07317090034484863,0.0011200904846191406,0.07429099082946777,"[0.014999999999999986, 0.0, 1.0066350000000002, 0.9963700000000002, 0.15905, 0.10235, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 0.9887450000000002, 0.9761599999999999, 0.14605000000000004, 0.11848500000000001, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 0.99391, 0.9805300000000001, 0.180335, 0.09387999999999999, 0.014999999999999986, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.044845000000000135, 0.052890000000000215, 0.15405, 0.06484999999999999, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.035555000000000225, 0.04518999999999995, 0.14104999999999998, 0.080985, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.039369999999999905, 0.04771000000000014, 0.16533499999999998, 0.046380000000000005, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.0448449999999998, 0.05288999999999988, 0.15405, 0.06484999999999999, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.03555499999999978, 0.04519000000000006, 0.14105000000000004, 0.080985, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.039370000000000016, 0.04770999999999992, 0.165335, 0.04637999999999999, 1.3877787807814457e-17, 0.00917]]","[[8], [7]]",9
