Iteration,TX_Time,RX_Time,Delay,D_K,Delay_cc,T_K,Z12
1,"[[""1.727719359374991e9""], [""1.72771935943295e9""]]","[[""1.727719371848914e9""], [""1.727719383743762e9""]]","[[12.473922967910767], [24.31081199645996]]",24.31081199645996,0.8001070022583008,25.11091899871826,"[0.025, 0.01917, 0.98631, 0.9674250000000001, 0.40074, 0.159145, 0.025, 0.01917, 0.025, 0.01917, 0.9873599999999999, 0.968085, 0.32955, 0.182535, 0.025, 0.01917, 0.025, 0.01917, 0.9909250000000001, 0.9704849999999999, 0.422205, 0.10255, 0.025, 0.01917]"
2,"[[""1.727719384697406e9""], [""1.727719384697573e9""]]","[[""1.72771938488291e9""], [""1.727719385124228e9""]]","[[0.18550395965576172], [0.4266550540924072]]",0.4266550540924072,0.0028181076049804688,0.4294731616973877,"[0.014999999999999998, 0.00917, 0.9954000000000001, 0.989525, 0.007459999999999994, 0.080765, 0.014999999999999998, 0.0, 0.014999999999999998, 0.00917, 0.99513, 0.988115, 0.006605, 0.07815999999999997, 0.014999999999999998, 0.0, 0.014999999999999998, 0.00917, 0.99488, 0.9894799999999999, 0.016229999999999967, 0.06662499999999999, 0.014999999999999998, 0.0]"
3,"[[""1.727719385127441e9""], [""1.727719385127582e9""]]","[[""1.727719385488612e9""], [""1.727719385424001e9""]]","[[0.36117100715637207], [0.2964189052581787]]",0.36117100715637207,0.003050088882446289,0.36422109603881836,"[0.015, 0.009165, 1.009685, 1.0100099999999999, -0.187905, 0.053165, 0.015, -0.009165, 0.015, 0.009165, 1.0075, 1.00565, -0.1536, 0.03912500000000001, 0.015, -0.009165, 0.015, 0.009165, 1.010765, 1.0132050000000001, -0.18503, 0.054655, 0.015, -0.0055249999999999995]"
4,"[[""1.727719385492134e9""], [""1.727719385492266e9""]]","[[""1.72771938557878e9""], [""1.72771938577411e9""]]","[[0.08664584159851074], [0.2818441390991211]]",0.2818441390991211,0.003155946731567383,0.2850000858306885,"[0.015, 0.009165, 1.011605, 1.0132050000000001, -0.18888, 0.038759999999999996, 0.015, -0.00917, 0.015, 0.009165, 1.0084899999999999, 1.0081000000000002, -0.15587499999999999, 0.025515000000000017, 0.015, -0.00917, 0.015, 0.009165, 1.01767, 1.02011, -0.18587499999999998, 0.04864500000000001, 0.015, -0.00411]"
5,"[[""1.727719385777831e9""], [""1.727719385777962e9""]]","[[""1.727719386103884e9""], [""1.727719386064607e9""]]","[[0.3260529041290283], [0.28664493560791016]]",0.3260529041290283,0.002825021743774414,0.32887792587280273,"[0.015, 0.009165, 1.0071749999999997, 1.0069299999999999, -0.09349, 0.03421, 0.015, -0.0036699999999999997, 0.015, 0.009165, 1.004725, 1.00386, -0.076155, 0.023464999999999996, 0.015, 0.0, 0.015, 0.009165, 1.012885, 1.012155, -0.08711, 0.04279499999999999, 0.015, 0.0003350000000000001]"
6,"[[""1.727719386107324e9""], [""1.727719386107458e9""]]","[[""1.727719386198871e9""], [""1.727719386394355e9""]]","[[0.09154701232910156], [0.2868969440460205]]",0.2868969440460205,0.0043489933013916016,0.2912459373474121,"[0.015, 0.009165, 1.0026100000000002, 1.00079, 0.0014050000000000035, 0.029080000000000005, 0.015, 0.0009149999999999996, 0.015, 0.009165, 1.0025849999999998, 1.00066, 0.002704999999999999, 0.024754999999999996, 0.015, 0.004585, 0.015, 0.009165, 1.005515, 1.0019900000000002, 0.011435000000000008, 0.034115, 0.015, 0.006975]"
7,"[[""1.727719386399366e9""], [""1.727719386400136e9""]]","[[""1.727719386491836e9""], [""1.727719386844541e9""]]","[[0.09247016906738281], [0.44440507888793945]]",0.44440507888793945,0.0031108856201171875,0.44751596450805664,"[0.015, 0.009165, 0.999625, 0.9967349999999999, 0.050324999999999995, 0.030484999999999998, 0.015, 0.00733, 0.015, 0.009165, 1.0003400000000002, 0.9974499999999998, 0.043295, 0.030579999999999996, 0.015, 0.00916, 0.015, 0.009165, 1.00021, 0.994835, 0.06172, 0.03436500000000001, 0.015, 0.00917]"
8,"[[""1.727719386848473e9""], [""1.727719386848598e9""]]","[[""1.727719387063477e9""], [""1.727719387124227e9""]]","[[0.21500396728515625], [0.27562904357910156]]",0.27562904357910156,0.0031740665435791016,0.27880311012268066,"[0.015, 0.009165, 0.9980450000000001, 0.994895, 0.05184999999999999, 0.03441999999999999, 0.015, 0.00917, 0.015, 0.009165, 0.99803, 0.994695, 0.04440499999999999, 0.035885, 0.015, 0.00917, 0.015, 0.009165, 0.996315, 0.99044, 0.062855, 0.0393, 0.015, 0.00917]"
9,"[[""1.727719387128263e9""], [""1.727719387128389e9""]]","[[""1.72771938720472e9""], [""1.727719387404599e9""]]","[[0.07645702362060547], [0.27621006965637207]]",0.27621006965637207,0.004177093505859375,0.28038716316223145,"[0.015, 0.009165, 0.9982249999999999, 0.995395, 0.02903, 0.03767500000000001, 0.015, 0.00917, 0.015, 0.009165, 0.99656, 0.9932249999999999, 0.025185, 0.03882000000000001, 0.015, 0.00917, 0.015, 0.009165, 0.9943649999999999, 0.98878, 0.03921000000000001, 0.04498999999999999, 0.015, 0.00917]"
10,"[[""1.727719387409698e9""], [""1.727719387409836e9""]]","[[""1.727719387498607e9""], [""1.727719387674165e9""]]","[[0.08890891075134277], [0.2643289566040039]]",0.2643289566040039,0.0032029151916503906,0.2675318717956543,"[0.015, 0.009165, 0.99911, 0.996805, 0.005415000000000003, 0.038794999999999996, 0.015, 0.00917, 0.015, 0.009165, 0.996915, 0.9937650000000001, 0.005344999999999999, 0.039479999999999994, 0.015, 0.00917, 0.015, 0.009165, 0.993895, 0.988765, 0.015269999999999995, 0.04866, 0.015, 0.00917]"
