Iteration,TX_Time,RX_Time,Delay_process,Delay,D_K,Delay_cc,T_K,Z12,Primal_Residual,LocalUpdate,GlobalUpdate
1,"[[""1.730156518482101e9""], [""1.73015651848232e9""]]","[[""1.730156524904215e9""], [""1.730156524905385e9""]]","[Float64[], Float64[]]","[[0.2], [0.2]]",0.2,0.2051539421081543,0.4051539421081543,"[1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998]","[[0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787], [0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787]]","[Int64[], Int64[]]",NA
2,"[[""1.730156525110848e9""], [""1.730156525110994e9""]]","[[""1.730156525364175e9""], [""1.730156525365484e9""]]","[Float64[], Float64[]]","[[0.2], [0.2]]",0.2,0.001127004623413086,0.2011270046234131,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[Int64[], Int64[]]",NA
3,"[[""1.730156525366799e9""], [""1.730156525366897e9""]]","[[""1.730156526014041e9""], [""1.730156525534323e9""]]","[Float64[], [0.07349]]","[[0.2], [0.16742587089538574]]",0.2,0.0009551048278808594,0.20095510482788087,"[0.5075000000000002, 0.5045850000000002, 1.01069, 1.008235, 0.5025000000000002, 0.5370850000000003, 0.5075000000000002, 0.5045850000000002, 0.5075000000000002, 0.5045850000000002, 1.01147, 1.0085300000000001, 0.5025000000000002, 0.5370850000000003, 0.5075000000000002, 0.5045850000000002, 0.5075000000000002, 0.5045850000000002, 1.016845, 1.0128150000000002, 0.5075000000000002, 0.5420850000000003, 0.5075000000000002, 0.5045850000000002]","[[0.4924999999999998, 0.4954149999999998, 0.010690000000000088, 0.008234999999999992, 0.49749999999999983, 0.46291499999999974, 0.4924999999999998, 0.4954149999999998, 0.4924999999999998, 0.4954149999999998, 0.011470000000000091, 0.008530000000000149, 0.49749999999999983, 0.46291499999999974, 0.4924999999999998, 0.4954149999999998, 0.4924999999999998, 0.4954149999999998, 0.016845, 0.012815000000000243, 0.4924999999999998, 0.45791499999999974, 0.4924999999999998, 0.4954149999999998], [0.49250000000000016, 0.49541500000000016, 0.010689999999999866, 0.008234999999999992, 0.49750000000000016, 0.46291500000000024, 0.49250000000000016, 0.49541500000000016, 0.49250000000000016, 0.49541500000000016, 0.01146999999999987, 0.008529999999999927, 0.49750000000000016, 0.46291500000000024, 0.49250000000000016, 0.49541500000000016, 0.49250000000000016, 0.49541500000000016, 0.016845, 0.012814999999999799, 0.49250000000000016, 0.4579150000000003, 0.49250000000000016, 0.49541500000000016]]","[Int64[], [1]]",1
4,"[[""1.730156526015177e9""], [""1.730156526015289e9""]]","[[""1.73015652617991e9""], [""1.730156526332369e9""]]","[[0.03776], Float64[]]","[[0.1647329330444336], [0.2]]",0.2,0.0009529590606689453,0.20095295906066896,"[0.015000000000000069, 0.009170000000000067, 1.00682, 1.0021600000000002, 0.0025600000000000622, 0.06823999999999991, 0.015000000000000069, 0.009165000000000034, 0.015000000000000069, 0.009170000000000067, 1.0071, 1.00184, 0.0026150000000000895, 0.06561499999999987, 0.015000000000000069, 0.009165000000000034, 0.015000000000000069, 0.009170000000000067, 1.012245, 1.005665, 0.01140500000000011, 0.0717199999999999, 0.015000000000000069, 0.009165000000000034]","[[6.938893903907228e-17, 6.765421556309548e-17, 0.014560000000000017, 0.014310000000000156, 0.0024400000000000623, 0.0059299999999999145, 6.938893903907228e-17, 5.000000000034491e-6, 6.938893903907228e-17, 6.765421556309548e-17, 0.015840000000000076, 0.015220000000000011, 0.0023850000000000893, 0.008554999999999868, 6.938893903907228e-17, 5.000000000034491e-6, 6.938893903907228e-17, 6.765421556309548e-17, 0.021445000000000047, 0.01996500000000001, 0.0035950000000001094, 0.012449999999999892, 6.938893903907228e-17, 5.000000000034491e-6], [6.938893903907228e-17, 6.765421556309548e-17, 0.014559999999999906, 0.014309999999999823, 0.002439999999999938, 0.005930000000000088, 6.938893903907228e-17, 4.999999999965102e-6, 6.938893903907228e-17, 6.765421556309548e-17, 0.015839999999999854, 0.015220000000000011, 0.0023849999999999106, 0.008555000000000132, 6.938893903907228e-17, 4.999999999965102e-6, 6.938893903907228e-17, 6.765421556309548e-17, 0.021444999999999936, 0.01996500000000001, 0.00359499999999989, 0.0124500000000001, 6.938893903907228e-17, 4.999999999965102e-6]]","[[1], Int64[]]",2
5,"[[""1.730156526333512e9""], [""1.730156526333628e9""]]","[[""1.730156526432566e9""], [""1.730156526474118e9""]]","[[0.02371], [0.06757]]","[[0.09905385971069336], [0.14049005508422852]]",0.14049005508422852,0.0002429485321044922,0.140733003616333,"[0.014999999999999986, 0.0, 1.040965, 1.05586, -0.22633, -0.11059999999999998, 0.014999999999999986, 5.551115123125783e-17, 0.014999999999999986, 0.0, 1.041805, 1.056345, -0.22597000000000006, -0.13004999999999992, 0.014999999999999986, 5.551115123125783e-17, 0.014999999999999986, 0.0, 1.0447600000000001, 1.058155, -0.22611000000000003, -0.09528499999999998, 0.014999999999999986, 5.551115123125783e-17]","[[1.3877787807814457e-17, 0.00917, 0.026835000000000164, 0.046640000000000015, 0.23133, 0.18477000000000005, 1.3877787807814457e-17, 0.009170000000000055, 1.3877787807814457e-17, 0.00917, 0.02573499999999984, 0.046154999999999946, 0.23096999999999995, 0.2042200000000001, 1.3877787807814457e-17, 0.009170000000000055, 1.3877787807814457e-17, 0.00917, 0.02289999999999992, 0.04434500000000008, 0.24111, 0.179455, 1.3877787807814457e-17, 0.009170000000000055], [1.3877787807814457e-17, 0.00917, 0.026834999999999942, 0.046640000000000015, 0.23133, 0.18477, 1.3877787807814457e-17, 0.009169999999999944, 1.3877787807814457e-17, 0.00917, 0.025735000000000063, 0.04615500000000017, 0.23097000000000006, 0.2042199999999999, 1.3877787807814457e-17, 0.009169999999999944, 1.3877787807814457e-17, 0.00917, 0.022900000000000142, 0.04434499999999986, 0.24111000000000005, 0.17945499999999998, 1.3877787807814457e-17, 0.009169999999999944]]","[[2], [2]]",3
6,"[[""1.73015652647454e9""], [""1.730156526474641e9""]]","[[""1.730156526566041e9""], [""1.730156526634186e9""]]","[[0.024], [0.07036]]","[[0.09150099754333496], [0.1595449447631836]]",0.1595449447631836,0.000247955322265625,0.15979290008544922,"[0.014999999999999986, 0.0, 1.0493800000000002, 1.0642749999999999, -0.22633, -0.1106, 0.014999999999999986, -5.551115123125783e-17, 0.014999999999999986, 0.0, 1.0504149999999999, 1.0649600000000001, -0.22597, -0.13005000000000003, 0.014999999999999986, -5.551115123125783e-17, 0.014999999999999986, 0.0, 1.056625, 1.07002, -0.22611000000000003, -0.09528499999999997, 0.014999999999999986, -5.551115123125783e-17]","[[1.3877787807814457e-17, 0.00917, 0.01841999999999988, 0.038225000000000176, 0.23133, 0.18477000000000002, 1.3877787807814457e-17, 0.009169999999999944, 1.3877787807814457e-17, 0.00917, 0.017125000000000057, 0.03753999999999991, 0.23097, 0.20421999999999998, 1.3877787807814457e-17, 0.009169999999999944, 1.3877787807814457e-17, 0.00917, 0.011035000000000128, 0.032480000000000064, 0.24111, 0.17945500000000003, 1.3877787807814457e-17, 0.009169999999999944], [1.3877787807814457e-17, 0.00917, 0.018420000000000103, 0.03822499999999995, 0.23133, 0.18477, 1.3877787807814457e-17, 0.009170000000000055, 1.3877787807814457e-17, 0.00917, 0.017124999999999835, 0.03754000000000013, 0.23097, 0.20422, 1.3877787807814457e-17, 0.009170000000000055, 1.3877787807814457e-17, 0.00917, 0.011034999999999906, 0.032480000000000064, 0.24111000000000005, 0.17945499999999998, 1.3877787807814457e-17, 0.009170000000000055]]","[[3], [3]]",4
7,"[[""1.730156526634611e9""], [""1.730156526634718e9""]]","[[""1.730156526735558e9""], [""1.730156526794106e9""]]","[[0.0239], [0.07269]]","[[0.10094714164733887], [0.15938806533813477]]",0.15938806533813477,0.0002410411834716797,0.15962910652160645,"[0.014999999999999986, 0.0, 1.0353999999999999, 1.0451050000000002, -0.1237, -0.06645999999999998, 0.014999999999999986, 2.7755575615628914e-17, 0.014999999999999986, 0.0, 1.027375, 1.0334599999999998, -0.12069999999999999, -0.06555500000000002, 0.014999999999999986, 2.7755575615628914e-17, 0.014999999999999986, 0.0, 1.03535, 1.04354, -0.11119499999999999, -0.06317499999999998, 0.014999999999999986, 2.7755575615628914e-17]","[[1.3877787807814457e-17, 0.00917, 0.006300000000000194, 0.01823499999999978, 0.1287, 0.10396000000000001, 1.3877787807814457e-17, 0.009170000000000027, 1.3877787807814457e-17, 0.00917, 0.00046500000000015973, 0.009500000000000286, 0.12570000000000003, 0.103055, 1.3877787807814457e-17, 0.009170000000000027, 1.3877787807814457e-17, 0.00917, 0.005470000000000086, 0.01870000000000016, 0.126195, 0.11067500000000002, 1.3877787807814457e-17, 0.009170000000000027], [1.3877787807814457e-17, 0.00917, 0.006299999999999972, 0.018235000000000223, 0.1287, 0.10395999999999997, 1.3877787807814457e-17, 0.009169999999999972, 1.3877787807814457e-17, 0.00917, 0.0004649999999999377, 0.009499999999999842, 0.12569999999999998, 0.10305500000000001, 1.3877787807814457e-17, 0.009169999999999972, 1.3877787807814457e-17, 0.00917, 0.005470000000000086, 0.01869999999999994, 0.126195, 0.11067499999999998, 1.3877787807814457e-17, 0.009169999999999972]]","[[4], [4]]",5
8,"[[""1.730156526794529e9""], [""1.730156526794632e9""]]","[[""1.730156526882991e9""], [""1.730156526947158e9""]]","[[0.02309], [0.07375]]","[[0.08846211433410645], [0.1525261402130127]]",0.1525261402130127,0.00024390220642089844,0.1527700424194336,"[0.014999999999999986, 0.0, 1.01592, 1.016965, -0.005979999999999999, 0.005150000000000002, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 1.007905, 1.006585, -0.008510000000000004, 0.010474999999999991, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 1.016335, 1.015025, 0.007785, 0.007679999999999998, 0.014999999999999986, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.008879999999999999, 0.00560499999999986, 0.01098, 0.032350000000000004, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.009685000000000055, 0.008055000000000034, 0.013509999999999998, 0.02702499999999999, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.013514999999999944, 0.009785000000000155, 0.007215, 0.03982, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.008879999999999999, 0.005605000000000082, 0.01098, 0.03235, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.009684999999999944, 0.008054999999999923, 0.013510000000000005, 0.027025000000000007, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.013514999999999944, 0.009784999999999933, 0.007214999999999999, 0.03982, 1.3877787807814457e-17, 0.00917]]","[[5], [5]]",6
9,"[[""1.73015652694757e9""], [""1.730156526947669e9""]]","[[""1.7301565270357e9""], [""1.730156527096915e9""]]","[[0.0225], [0.07299]]","[[0.08812999725341797], [0.1492459774017334]]",0.1492459774017334,0.0002319812774658203,0.14947795867919922,"[0.014999999999999986, 0.0, 1.000275, 0.9962750000000001, 0.0533, 0.05109999999999999, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 0.9964149999999999, 0.9896600000000001, 0.054185000000000004, 0.062375, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 1.0051850000000002, 0.9986450000000001, 0.070305, 0.052375000000000005, 0.014999999999999986, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.013415000000000066, 0.015185000000000115, 0.048299999999999996, 0.013600000000000001, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.01990499999999995, 0.023700000000000054, 0.049185, 0.024874999999999994, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.023295000000000177, 0.024795000000000122, 0.05530499999999999, 0.004874999999999997, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.013414999999999955, 0.015184999999999893, 0.0483, 0.013599999999999994, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.01990499999999995, 0.023699999999999943, 0.049185000000000006, 0.024875, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.023294999999999844, 0.02479499999999979, 0.05530500000000001, 0.004875000000000004, 1.3877787807814457e-17, 0.00917]]","[[6], [6]]",7
10,"[[""1.730156527097323e9""], [""1.730156527097449e9""]]","[[""1.730156527177741e9""], [""1.730156527246145e9""]]","[[0.02164], [0.07014]]","[[0.08041810989379883], [0.1486959457397461]]",0.1486959457397461,0.000247955322265625,0.14894390106201172,"[0.014999999999999986, 0.0, 0.9954050000000001, 0.9894599999999999, 0.058374999999999996, 0.06754, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 0.9939800000000001, 0.9866149999999999, 0.061239999999999996, 0.07329999999999999, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 0.99915, 0.9914199999999999, 0.07207999999999998, 0.06809499999999999, 0.014999999999999986, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.016325000000000145, 0.020039999999999947, 0.053375000000000006, 0.030039999999999997, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.01992000000000005, 0.024334999999999885, 0.056240000000000005, 0.03580000000000001, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.02201999999999993, 0.0247099999999999, 0.05708000000000002, 0.020595000000000016, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.016324999999999923, 0.02004000000000017, 0.053375, 0.030040000000000004, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.019919999999999938, 0.024335000000000107, 0.05624, 0.03579999999999999, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.02201999999999993, 0.02471000000000012, 0.05707999999999998, 0.02059499999999999, 1.3877787807814457e-17, 0.00917]]","[[7], [7]]",8
