Iteration,TX_Time,RX_Time,Delay,D_K,Delay_cc,T_K,Z12
1,"[[""1.727466726257546e9""], [""1.727466726257823e9""]]","[[""1.727466734153535e9""], [""1.727466739136249e9""]]","[[7.895988941192627], [12.87842607498169]]",12.87842607498169,0.20116686820983887,13.079592943191528,"[0.025, 0.019200000000000002, 0.9863500000000001, 0.96745, 0.40075, 0.15915, 0.025, 0.019200000000000002, 0.025, 0.019200000000000002, 0.9873500000000001, 0.9681000000000001, 0.32955, 0.18255, 0.025, 0.019200000000000002, 0.025, 0.019200000000000002, 0.9909, 0.9705, 0.4222, 0.10255, 0.025, 0.019200000000000002]"
2,"[[""1.727466739337881e9""], [""1.727466739338079e9""]]","[[""1.727466739683769e9""], [""1.727466739598314e9""]]","[[0.3458878993988037], [0.260235071182251]]",0.3458878993988037,0.005465030670166016,0.3513529300689697,"[0.014999999999999998, 0.009199999999999998, 0.9954000000000001, 0.9895499999999999, 0.007450000000000012, 0.08079999999999998, 0.014999999999999998, -1.9775847626135603e-18, 0.014999999999999998, 0.009199999999999998, 0.99515, 0.9880999999999999, 0.006599999999999995, 0.07815, 0.014999999999999998, -1.9775847626135603e-18, 0.014999999999999998, 0.009199999999999998, 0.99485, 0.9894499999999999, 0.016250000000000014, 0.06665, 0.014999999999999998, -1.9775847626135603e-18]"
3,"[[""1.7274667396896e9""], [""1.727466739689776e9""]]","[[""1.727466739816387e9""], [""1.72746673997794e9""]]","[[0.1267869472503662], [0.2881641387939453]]",0.2881641387939453,0.006384849548339844,0.29454898834228516,"[0.015, 0.0092, 1.00965, 1.0099999999999998, -0.18790000000000004, 0.05315, 0.015, -0.0092, 0.015, 0.0092, 1.0075, 1.00565, -0.1536, 0.039099999999999996, 0.015, -0.0092, 0.015, 0.0092, 1.01075, 1.0131999999999999, -0.185, 0.0547, 0.015, -0.00555]"
4,"[[""1.727466739984706e9""], [""1.727466739984874e9""]]","[[""1.727466740063765e9""], [""1.727466740284066e9""]]","[[0.07905912399291992], [0.299191951751709]]",0.299191951751709,0.006299018859863281,0.30549097061157227,"[0.015, 0.0092, 1.0115999999999998, 1.0132, -0.1889, 0.0388, 0.015, -0.0092, 0.015, 0.0092, 1.0085, 1.0080500000000001, -0.15585, 0.025500000000000002, 0.015, -0.0092, 0.015, 0.0092, 1.01765, 1.0201500000000001, -0.1859, 0.0487, 0.015, -0.00415]"
5,"[[""1.727466740290879e9""], [""1.727466740291051e9""]]","[[""1.727466740368335e9""], [""1.727466740576286e9""]]","[[0.07745599746704102], [0.2852351665496826]]",0.2852351665496826,0.006206035614013672,0.2914412021636963,"[0.015, 0.0092, 1.0071500000000002, 1.0069000000000001, -0.0935, 0.03425, 0.015, -0.0037, 0.015, 0.0092, 1.0047, 1.0039, -0.0761, 0.02345, 0.015, 0.0, 0.015, 0.0092, 1.0129000000000001, 1.01215, -0.08714999999999996, 0.04285, 0.015, 0.0002499999999999999]"
6,"[[""1.727466740583189e9""], [""1.727466740583371e9""]]","[[""1.727466740668381e9""], [""1.727466740866289e9""]]","[[0.08519196510314941], [0.28291797637939453]]",0.28291797637939453,0.0052301883697509766,0.2881481647491455,"[0.015, 0.0092, 1.0025999999999997, 1.0007499999999998, 0.0014000000000000054, 0.029099999999999994, 0.015, 0.0008999999999999993, 0.015, 0.0092, 1.0026, 1.00065, 0.002700000000000001, 0.02475, 0.015, 0.004599999999999999, 0.015, 0.0092, 1.0055, 1.002, 0.011450000000000002, 0.0341, 0.015, 0.006899999999999998]"
7,"[[""1.727466740872176e9""], [""1.727466740872359e9""]]","[[""1.727466741276399e9""], [""1.727466741155867e9""]]","[[0.4042229652404785], [0.2835080623626709]]",0.4042229652404785,0.007218122482299805,0.4114410877227783,"[0.015, 0.0092, 0.9996500000000003, 0.9966999999999999, 0.05034999999999999, 0.0305, 0.015, 0.007349999999999999, 0.015, 0.0092, 1.0004, 0.9974499999999998, 0.043250000000000004, 0.030599999999999995, 0.015, 0.0092, 0.015, 0.0092, 1.0002499999999999, 0.9948499999999999, 0.06175, 0.034350000000000006, 0.015, 0.009200000000000002]"
8,"[[""1.727466741284398e9""], [""1.727466741284574e9""]]","[[""1.72746674135351e9""], [""1.727466741556055e9""]]","[[0.06911182403564453], [0.2714810371398926]]",0.2714810371398926,0.006248950958251953,0.27772998809814453,"[0.015, 0.0092, 0.99805, 0.99495, 0.05184999999999999, 0.0344, 0.015, 0.0092, 0.015, 0.0092, 0.9980500000000001, 0.9947, 0.044399999999999995, 0.0359, 0.015, 0.0092, 0.015, 0.0092, 0.9963, 0.99045, 0.0628, 0.039349999999999996, 0.015, 0.009199999999999998]"
9,"[[""1.727466741563049e9""], [""1.727466741563247e9""]]","[[""1.727466741650362e9""], [""1.727466741836363e9""]]","[[0.08731293678283691], [0.2731161117553711]]",0.2731161117553711,0.005403041839599609,0.2785191535949707,"[0.015, 0.0092, 0.9982, 0.9954000000000001, 0.028999999999999998, 0.037649999999999996, 0.015, 0.0092, 0.015, 0.0092, 0.99655, 0.9932499999999999, 0.025149999999999992, 0.0388, 0.015, 0.0092, 0.015, 0.0092, 0.9943500000000001, 0.9887999999999999, 0.03920000000000001, 0.045, 0.015, 0.009200000000000002]"
10,"[[""1.72746674184253e9""], [""1.727466741842696e9""]]","[[""1.727466741923496e9""], [""1.72746674210602e9""]]","[[0.08096599578857422], [0.2633240222930908]]",0.2633240222930908,0.005803108215332031,0.26912713050842285,"[0.015, 0.0092, 0.9991, 0.9968000000000001, 0.005399999999999999, 0.03875, 0.015, 0.0092, 0.015, 0.0092, 0.9968999999999999, 0.9937500000000001, 0.005300000000000003, 0.03944999999999999, 0.015, 0.0092, 0.015, 0.0092, 0.9939, 0.98875, 0.015249999999999996, 0.04865, 0.015, 0.009199999999999998]"
