vdista,vdistb,vdistc
1,1,1
0.99790527,NaN,NaN
0.999088583,1,0.999916127
1.000136202,0.999586145,0.99900506
NaN,NaN,0.998116001
NaN,NaN,0.997259122
NaN,NaN,0.997259122
1.000043986,0.999636064,0.998805442
NaN,0.999636064,NaN
NaN,0.999636064,NaN
0.999934993,0.999695055,0.998569478
0.999934993,NaN,NaN
0.99790527,NaN,NaN
0.999934993,NaN,NaN
0.999934993,NaN,NaN
0.999934993,NaN,NaN
0.999934993,NaN,NaN
0.999934993,NaN,NaN
NaN,1,NaN
0.997283468,1.000213318,0.998242055
1.000657398,1.001808775,0.999160613
0.99790527,NaN,NaN
1,1,1
NaN,NaN,0.997253407
1,1,1
1,1,1
1.000807631,0.993416256,0.998873364
0.997283468,1.000213318,0.998242055
NaN,NaN,0.997253407
0.999593529,1,1
0.999593529,1,1
NaN,NaN,0.996791703
1.000657398,1.001808775,0.999160613
1,NaN,NaN
0.999823313,0.999675025,1
NaN,0.999644369,NaN
0.999144736,NaN,NaN
0.999165419,1.004872436,0.998458244
NaN,1.006900639,NaN
0.997940915,1.00372771,0.99912751
NaN,NaN,0.99840324
0.996488872,1.002483914,1.000043156
0.994656464,0.998718292,1.00457864
0.99648844,NaN,1.000043156
0.99602863,NaN,1
0.995847933,NaN,0.999983045
0.995823547,1.00138822,1.000772928
0.995053056,1,1.002161027
NaN,NaN,1.00118097
0.994686444,0.998979688,1.004463632
0.999281999,0.999983921,0.998494818
NaN,NaN,1
NaN,NaN,1
0.995847933,NaN,NaN
NaN,NaN,0.997648984
1.000040074,1.00042419,0.999757867
1,1,NaN
1,NaN,NaN
NaN,0.999671139,NaN
NaN,0.999671139,NaN
NaN,NaN,1.00118097
1.000080939,0.998212261,0.999760087
NaN,NaN,0.999760087
0.9999774,0.996032844,1.000088702
NaN,0.994709991,NaN
1,0.995039902,1
0.99947377,NaN,NaN
0.998565779,1.000231029,0.99985648
0.998683906,NaN,NaN
1.000085905,0.993686418,1.0005099
0.999890082,0.993782232,1.000491414
1.000374658,0.993578362,0.999855607
NaN,NaN,1.002958013
1.000663328,0.993470294,0.999200886
1.000807631,0.993416256,0.998873364
0.996158033,0.999715647,0.998399078
0.996308631,0.999629107,0.998816294
0.996429682,0.999737706,0.998997544
0.996009112,0.999585847,0.999138324
0.995949822,0.999227838,0.999313017
0.997251153,1.000436649,0.999250474
NaN,1.001242061,NaN
NaN,1.001242061,NaN
NaN,NaN,1.0049774
0.999593529,1,1
1,1.0026698,0.998363211
1,1.0026698,0.998363211
1,1.0026698,0.998363211
1.000248386,0.998627583,1.000580425
1.00070653,0.997665767,1.000986522
1.001478069,0.996611887,1.001640137
1.002414139,0.995330676,1.002433238
1.002414139,0.995330676,1.002433238
1,0.999547208,1.001049807
1,NaN,NaN
1,NaN,NaN
0.998319589,0.999857763,0.999600611
1,NaN,NaN
1,NaN,NaN
1.000642833,1.000572652,1.001207918
NaN,NaN,1.000123577
NaN,NaN,0.998741804
NaN,NaN,0.99768774
1.000793013,1.00142499,1.00197236
1.002256795,1.000285161,1.003755834
1.002622406,1,1.004201208
1.003121384,0.998420228,1.004293026
0.99790527,1,0.99905741
1.003363229,1.00259447,1.005820863
1.004722465,1.004909242,1.007539156
1.005437114,1.006125404,1.008442345
1.006313846,1.007268417,1.009371319
NaN,NaN,1.007539156
NaN,NaN,1.007539156
1.001555997,1.002150558,1.002641698
1.002025625,1.002634707,1.003074302
1.002411881,NaN,NaN
1.001826861,1.00295725,1.00351222
0.99790527,NaN,NaN
NaN,1.003453377,NaN
1.001784184,1.00282885,1.003897957
NaN,NaN,1.004558785
1.001784184,1.00282885,1.003897957
1.001784184,NaN,NaN
1.001784184,1.00282885,1.003897957
NaN,1.00282885,NaN
0.999823313,0.999675025,1
0.999643762,0.999754473,0.999979498
0.999284564,0.99991335,0.999938494
0.99790527,NaN,NaN
