% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
3.2095	1	0	1	1	321	1	1	7	6	14	1	0	28	2433
3.304	1	0	1	1	330	6	0	12	1	15	1	0	28	403
3.309	1	0	1	1	331	1	0	0	13	15	1	0	28	5271
3.3095	1	0	1	1	331	1	1	7	6	14	1	0	28	2433
3.404	1	0	1	1	340	6	0	12	1	15	1	0	28	403
3.409	1	0	1	1	341	1	0	0	13	15	1	0	28	5271
3.4095	1	0	1	1	341	1	1	7	6	14	1	0	28	2433
3.504	1	0	1	1	350	6	0	12	1	15	1	0	28	403
3.509	1	0	1	1	351	1	0	0	13	15	1	0	28	5271
3.5095	1	0	1	1	351	1	1	7	6	14	1	0	28	2433
3.604	1	0	1	1	360	6	0	12	1	15	1	0	28	403
3.609	1	0	1	1	361	1	0	0	13	15	1	0	28	5271
3.6095	1	0	1	1	361	1	1	7	6	14	1	0	28	2433
3.704	1	0	1	1	370	6	0	12	1	15	1	0	28	403
3.709	1	0	1	1	371	1	0	0	13	15	1	0	28	5271
3.7095	1	0	1	1	371	1	1	7	6	14	1	0	28	2433
3.804	1	0	1	1	380	6	0	12	1	15	1	0	28	403
3.809	1	0	1	1	381	1	0	0	13	15	1	0	28	5271
3.8095	1	0	1	1	381	1	1	7	6	14	1	0	28	2433
3.904	1	0	1	1	390	6	0	12	1	15	1	0	28	403
3.909	1	0	1	1	391	1	0	0	13	15	1	0	28	5271
3.9095	1	0	1	1	391	1	1	7	6	14	1	0	28	2433
4.004	1	0	1	1	400	6	0	12	1	15	1	0	28	403
4.009	1	0	1	1	401	1	0	0	13	15	1	0	28	5271
4.0095	1	0	1	1	401	1	1	7	6	14	1	0	28	2433
4.104	1	0	1	1	410	6	0	12	1	15	1	0	28	403
4.109	1	0	1	1	411	1	0	0	13	15	1	0	28	5271
4.1095	1	0	1	1	411	1	1	7	6	14	1	0	28	2433
4.204	1	0	1	1	420	6	0	12	1	15	1	0	28	403
4.209	1	0	1	1	421	1	0	0	13	15	1	0	28	5271
4.2095	1	0	1	1	421	1	1	7	6	14	1	0	28	2433
4.304	1	0	1	1	430	6	0	12	1	15	1	0	28	403
4.309	1	0	1	1	431	1	0	0	13	15	1	0	28	5271
4.3095	1	0	1	1	431	1	1	7	6	14	1	0	28	2433
4.404	1	0	1	1	440	6	0	12	1	15	1	0	28	403
4.409	1	0	1	1	441	1	0	0	13	15	1	0	28	5271
4.4095	1	0	1	1	441	1	1	7	6	14	1	0	28	2433
4.504	1	0	1	1	450	6	0	12	1	15	1	0	28	403
4.509	1	0	1	1	451	1	0	0	13	15	1	0	28	5271
4.5095	1	0	1	1	451	1	1	7	6	14	1	0	28	2433
4.604	1	0	1	1	460	6	0	12	1	15	1	0	28	403
4.609	1	0	1	1	461	1	0	0	13	15	1	0	28	5271
4.6095	1	0	1	1	461	1	1	7	6	14	1	0	28	2433
4.704	1	0	1	1	470	6	0	12	1	15	1	0	28	403
4.709	1	0	1	1	471	1	0	0	13	15	1	0	28	5271
4.7095	1	0	1	1	471	1	1	7	6	14	1	0	28	2433
4.804	1	0	1	1	480	6	0	12	1	15	1	0	28	403
4.809	1	0	1	1	481	1	0	0	13	15	1	0	28	5271
4.8095	1	0	1	1	481	1	1	7	6	14	1	0	28	2433
4.904	1	0	1	1	490	6	0	12	1	15	1	0	28	403
4.909	1	0	1	1	491	1	0	0	13	15	1	0	28	5271
4.9095	1	0	1	1	491	1	1	7	6	14	1	0	28	2433
5.004	1	0	1	1	500	6	0	12	1	15	1	0	28	403
5.009	1	0	1	1	501	1	0	0	13	15	1	0	28	5271
5.0095	1	0	1	1	501	1	1	7	6	14	1	0	28	2433
5.104	1	0	1	1	510	6	0	12	1	15	1	0	28	403
5.109	1	0	1	1	511	1	0	0	13	15	1	0	28	5271
5.1095	1	0	1	1	511	1	1	7	6	14	1	0	28	2433
5.204	1	0	1	1	520	6	0	12	1	15	1	0	28	403
5.209	1	0	1	1	521	1	0	0	13	15	1	0	28	5271
5.2095	1	0	1	1	521	1	1	7	6	14	1	0	28	2433
5.304	1	0	1	1	530	6	0	12	1	15	1	0	28	403
5.309	1	0	1	1	531	1	0	0	13	15	1	0	28	5271
5.3095	1	0	1	1	531	1	1	7	6	14	1	0	28	2433
5.404	1	0	1	1	540	6	0	12	1	15	1	0	28	403
5.409	1	0	1	1	541	1	0	0	13	15	1	0	28	5271
5.4095	1	0	1	1	541	1	1	7	6	14	1	0	28	2433
5.504	1	0	1	1	550	6	0	12	1	15	1	0	28	403
5.509	1	0	1	1	551	1	0	0	13	15	1	0	28	5271
5.5095	1	0	1	1	551	1	1	7	6	14	1	0	28	2433
5.604	1	0	1	1	560	6	0	12	1	15	1	0	28	403
5.609	1	0	1	1	561	1	0	0	13	15	1	0	28	5271
5.6095	1	0	1	1	561	1	1	7	6	14	1	0	28	2433
5.704	1	0	1	1	570	6	0	12	1	15	1	0	28	403
5.709	1	0	1	1	571	1	0	0	13	15	1	0	28	5271
5.7095	1	0	1	1	571	1	1	7	6	14	1	0	28	2433
5.804	1	0	1	1	580	6	0	12	1	15	1	0	28	403
5.809	1	0	1	1	581	1	0	0	13	15	1	0	28	5271
5.8095	1	0	1	1	581	1	1	7	6	14	1	0	28	2433
5.904	1	0	1	1	590	6	0	12	1	15	1	0	28	403
5.909	1	0	1	1	591	1	0	0	13	15	1	0	28	5271
5.9095	1	0	1	1	591	1	1	7	6	14	1	0	28	2433
6.004	1	0	1	1	600	6	0	12	1	15	1	0	28	403
6.009	1	0	1	1	601	1	0	0	13	15	1	0	28	5271
6.0095	1	0	1	1	601	1	1	7	6	14	1	0	28	2433
6.104	1	0	1	1	610	6	0	12	1	15	1	0	28	403
6.109	1	0	1	1	611	1	0	0	13	15	1	0	28	5271
6.1095	1	0	1	1	611	1	1	7	6	14	1	0	28	2433
6.204	1	0	1	1	620	6	0	12	1	15	1	0	28	403
6.209	1	0	1	1	621	1	0	0	13	15	1	0	28	5271
6.2095	1	0	1	1	621	1	1	7	6	14	1	0	28	2433
6.304	1	0	1	1	630	6	0	12	1	15	1	0	28	403
6.309	1	0	1	1	631	1	0	0	13	15	1	0	28	5271
6.3095	1	0	1	1	631	1	1	7	6	14	1	0	28	2433
6.404	1	0	1	1	640	6	0	12	1	15	1	0	28	403
6.409	1	0	1	1	641	1	0	0	13	15	1	0	28	5271
6.4095	1	0	1	1	641	1	1	7	6	14	1	0	28	2433
6.504	1	0	1	1	650	6	0	12	1	15	1	0	28	403
6.509	1	0	1	1	651	1	0	0	13	15	1	0	28	5271
6.5095	1	0	1	1	651	1	1	7	6	14	1	0	28	2433
6.604	1	0	1	1	660	6	0	12	1	15	1	0	28	403
6.609	1	0	1	1	661	1	0	0	13	15	1	0	28	5271
6.6095	1	0	1	1	661	1	1	7	6	14	1	0	28	2433
6.704	1	0	1	1	670	6	0	12	1	15	1	0	28	403
6.709	1	0	1	1	671	1	0	0	13	15	1	0	28	5271
6.7095	1	0	1	1	671	1	1	7	6	14	1	0	28	2433
6.804	1	0	1	1	680	6	0	12	1	15	1	0	28	403
6.809	1	0	1	1	681	1	0	0	13	15	1	0	28	5271
6.8095	1	0	1	1	681	1	1	7	6	14	1	0	28	2433
6.904	1	0	1	1	690	6	0	12	1	15	1	0	28	403
6.909	1	0	1	1	691	1	0	0	13	15	1	0	28	5271
6.9095	1	0	1	1	691	1	1	7	6	14	1	0	28	2433
7.004	1	0	1	1	700	6	0	12	1	15	1	0	28	403
7.009	1	0	1	1	701	1	0	0	13	15	1	0	28	5271
7.0095	1	0	1	1	701	1	1	7	6	14	1	0	28	2433
7.104	1	0	1	1	710	6	0	12	1	15	1	0	28	403
7.109	1	0	1	1	711	1	0	0	13	15	1	0	28	5271
7.1095	1	0	1	1	711	1	1	7	6	14	1	0	28	2433
7.204	1	0	1	1	720	6	0	12	1	15	1	0	28	403
7.209	1	0	1	1	721	1	0	0	13	15	1	0	28	5271
7.2095	1	0	1	1	721	1	1	7	6	14	1	0	28	2433
7.304	1	0	1	1	730	6	0	12	1	15	1	0	28	403
7.309	1	0	1	1	731	1	0	0	13	15	1	0	28	5271
7.3095	1	0	1	1	731	1	1	7	6	14	1	0	28	2433
7.404	1	0	1	1	740	6	0	12	1	15	1	0	28	403
7.409	1	0	1	1	741	1	0	0	13	15	1	0	28	5271
7.4095	1	0	1	1	741	1	1	7	6	14	1	0	28	2433
7.504	1	0	1	1	750	6	0	12	1	15	1	0	28	403
7.509	1	0	1	1	751	1	0	0	13	15	1	0	28	5271
7.5095	1	0	1	1	751	1	1	7	6	14	1	0	28	2433
7.604	1	0	1	1	760	6	0	12	1	15	1	0	28	403
7.609	1	0	1	1	761	1	0	0	13	15	1	0	28	5271
7.6095	1	0	1	1	761	1	1	7	6	14	1	0	28	2433
7.704	1	0	1	1	770	6	0	12	1	15	1	0	28	403
7.709	1	0	1	1	771	1	0	0	13	15	1	0	28	5271
7.7095	1	0	1	1	771	1	1	7	6	14	1	0	28	2433
7.804	1	0	1	1	780	6	0	12	1	15	1	0	28	403
7.809	1	0	1	1	781	1	0	0	13	15	1	0	28	5271
7.8095	1	0	1	1	781	1	1	7	6	14	1	0	28	2433
7.904	1	0	1	1	790	6	0	12	1	15	1	0	28	403
7.909	1	0	1	1	791	1	0	0	13	15	1	0	28	5271
7.9095	1	0	1	1	791	1	1	7	6	14	1	0	28	2433
8.004	1	0	1	1	800	6	0	12	1	15	1	0	28	403
8.009	1	0	1	1	801	1	0	0	13	15	1	0	28	5271
8.0095	1	0	1	1	801	1	1	7	6	14	1	0	28	2433
8.104	1	0	1	1	810	6	0	12	1	15	1	0	28	403
8.109	1	0	1	1	811	1	0	0	13	15	1	0	28	5271
8.1095	1	0	1	1	811	1	1	7	6	14	1	0	28	2433
8.204	1	0	1	1	820	6	0	12	1	15	1	0	28	403
8.209	1	0	1	1	821	1	0	0	13	15	1	0	28	5271
8.2095	1	0	1	1	821	1	1	7	6	14	1	0	28	2433
8.304	1	0	1	1	830	6	0	12	1	15	1	0	28	403
8.309	1	0	1	1	831	1	0	0	13	15	1	0	28	5271
8.3095	1	0	1	1	831	1	1	7	6	14	1	0	28	2433
8.404	1	0	1	1	840	6	0	12	1	15	1	0	28	403
8.409	1	0	1	1	841	1	0	0	13	15	1	0	28	5271
8.4095	1	0	1	1	841	1	1	7	6	14	1	0	28	2433
