Time	CellId	RNTI	BWPId	SINR(dB)
2.231e-06	2	0	0	19.2583
0.00500223	2	0	0	21.0513
0.0100022	2	0	0	21.0513
0.0150022	2	0	0	21.0513
0.0161272	2	0	0	21.0513
0.016971	2	1	0	21.0513
0.019471	2	1	0	21.0513
0.0200022	2	1	0	21.0513
0.021971	2	1	0	21.0513
0.024471	2	1	0	21.0513
0.0250022	2	1	0	21.0513
0.026971	2	1	0	21.0513
0.029471	2	1	0	21.0513
0.0300022	2	1	0	21.0513
0.031971	2	1	0	21.0513
0.034471	2	1	0	21.0513
0.0350022	2	1	0	21.0513
0.036971	2	1	0	21.0513
0.039471	2	1	0	21.0513
0.0400022	2	1	0	21.0513
0.041971	2	1	0	21.0513
0.044471	2	1	0	21.0513
0.0450022	2	1	0	21.0513
0.046971	2	1	0	21.0513
0.049471	2	1	0	21.0513
0.0500022	2	1	0	21.0513
0.051971	2	1	0	21.0513
0.054471	2	1	0	21.0513
0.0550022	2	1	0	21.0513
0.056971	2	1	0	21.0513
0.059471	2	1	0	21.0513
0.0600022	2	1	0	21.0513
0.061971	2	1	0	21.0513
0.064471	2	1	0	21.0513
0.0650022	2	1	0	21.0513
0.066971	2	1	0	21.0513
0.069471	2	1	0	21.0513
0.0700022	2	1	0	21.0513
0.071971	2	1	0	21.0513
0.074471	2	1	0	21.0513
0.0750022	2	1	0	21.0513
0.076971	2	1	0	21.0513
0.079471	2	1	0	21.0513
0.0800022	2	1	0	21.0513
0.081971	2	1	0	21.0513
0.084471	2	1	0	21.0513
0.0850022	2	1	0	21.0513
0.086971	2	1	0	21.0513
0.089471	2	1	0	21.0513
0.0900022	2	1	0	21.0513
0.091971	2	1	0	21.0513
0.094471	2	1	0	21.0513
0.0950022	2	1	0	21.0513
0.096971	2	1	0	21.0513
0.099471	2	1	0	21.0513
0.100002	2	1	0	21.0513
0.101971	2	1	0	21.0513
0.104471	2	1	0	21.0513
0.105002	2	1	0	21.0513
0.106971	2	1	0	21.0513
0.109471	2	1	0	21.0513
0.110002	2	1	0	21.0513
0.111971	2	1	0	21.0513
0.114471	2	1	0	21.0513
0.115002	2	1	0	21.0513
0.116971	2	1	0	21.0513
0.119471	2	1	0	21.0513
0.120002	2	1	0	21.0513
0.121971	2	1	0	21.0513
0.124471	2	1	0	21.0513
0.125002	2	1	0	21.0513
0.126971	2	1	0	21.0513
0.129471	2	1	0	21.0513
0.130002	2	1	0	21.0513
0.131971	2	1	0	21.0513
0.134471	2	1	0	21.0513
0.135002	2	1	0	21.0513
0.136971	2	1	0	21.0513
0.139471	2	1	0	21.0513
0.140002	2	1	0	21.0513
0.141971	2	1	0	21.0513
0.144471	2	1	0	21.0513
0.145002	2	1	0	21.0513
0.146971	2	1	0	21.0513
0.149471	2	1	0	21.0513
0.150002	2	1	0	21.0513
0.151971	2	1	0	21.0513
0.154471	2	1	0	21.0513
0.155002	2	1	0	21.0513
0.156971	2	1	0	21.0513
0.159471	2	1	0	21.0513
0.160002	2	1	0	21.0513
0.161971	2	1	0	21.0513
0.164471	2	1	0	21.0513
0.165002	2	1	0	21.0513
0.166971	2	1	0	21.0513
0.169471	2	1	0	21.0513
0.170002	2	1	0	21.0513
0.171971	2	1	0	21.0513
0.174471	2	1	0	21.0513
0.175002	2	1	0	21.0513
0.176971	2	1	0	21.0513
0.179471	2	1	0	21.0513
0.180002	2	1	0	21.0513
0.181971	2	1	0	21.0513
0.184471	2	1	0	21.0513
0.185002	2	1	0	21.0513
0.186971	2	1	0	21.0513
0.189471	2	1	0	21.0513
0.190002	2	1	0	21.0513
0.191971	2	1	0	21.0513
0.194471	2	1	0	21.0513
0.195002	2	1	0	21.0513
0.196971	2	1	0	21.0513
0.199471	2	1	0	21.0513
0.200002	2	1	0	21.0513
0.201971	2	1	0	21.0513
0.204471	2	1	0	21.0513
0.205002	2	1	0	21.0513
0.206971	2	1	0	21.0513
0.209471	2	1	0	21.0513
0.210002	2	1	0	21.0513
0.211971	2	1	0	21.0513
0.214471	2	1	0	21.0513
0.215002	2	1	0	21.0513
0.216971	2	1	0	21.0513
0.219471	2	1	0	21.0513
0.220002	2	1	0	21.0513
0.221971	2	1	0	21.0513
0.224471	2	1	0	21.0513
0.225002	2	1	0	21.0513
0.226971	2	1	0	21.0513
0.229471	2	1	0	21.0513
0.230002	2	1	0	21.0513
0.231971	2	1	0	21.0513
0.234471	2	1	0	21.0513
0.235002	2	1	0	21.0513
0.236971	2	1	0	21.0513
0.239471	2	1	0	21.0513
0.240002	2	1	0	21.0513
0.241971	2	1	0	21.0513
0.244471	2	1	0	21.0513
0.245002	2	1	0	21.0513
0.246971	2	1	0	21.0513
0.249471	2	1	0	21.0513
0.250002	2	1	0	21.0513
0.251971	2	1	0	21.0513
0.254471	2	1	0	21.0513
0.255002	2	1	0	21.0513
0.256971	2	1	0	21.0513
0.259471	2	1	0	21.0513
0.260002	2	1	0	21.0513
0.261971	2	1	0	21.0513
0.264471	2	1	0	21.0513
0.265002	2	1	0	21.0513
0.266971	2	1	0	21.0513
0.269471	2	1	0	21.0513
0.270002	2	1	0	21.0513
0.271971	2	1	0	21.0513
0.274471	2	1	0	21.0513
0.275002	2	1	0	21.0513
0.276971	2	1	0	21.0513
0.279471	2	1	0	21.0513
0.280002	2	1	0	21.0513
0.281971	2	1	0	21.0513
0.284471	2	1	0	21.0513
0.285002	2	1	0	21.0513
0.286971	2	1	0	21.0513
0.289471	2	1	0	21.0513
0.290002	2	1	0	21.0513
0.291971	2	1	0	21.0513
0.294471	2	1	0	21.0513
0.295002	2	1	0	21.0513
0.296971	2	1	0	21.0513
0.299471	2	1	0	21.0513
0.300002	2	1	0	21.0513
0.301971	2	1	0	21.0513
0.304471	2	1	0	21.0513
0.305002	2	1	0	21.0513
0.306971	2	1	0	21.0513
0.309471	2	1	0	21.0513
0.310002	2	1	0	21.0513
0.311971	2	1	0	21.0513
0.314471	2	1	0	21.0513
0.315002	2	1	0	21.0513
0.316971	2	1	0	21.0513
0.319471	2	1	0	21.0513
0.320002	2	1	0	21.0513
0.321971	2	1	0	21.0513
0.324471	2	1	0	21.0513
0.325002	2	1	0	21.0513
0.326971	2	1	0	21.0513
0.329471	2	1	0	21.0513
0.330002	2	1	0	21.0513
0.331971	2	1	0	21.0513
0.334471	2	1	0	21.0513
0.335002	2	1	0	21.0513
0.336971	2	1	0	21.0513
0.339471	2	1	0	21.0513
0.340002	2	1	0	21.0513
0.341971	2	1	0	21.0513
0.344471	2	1	0	21.0513
0.345002	2	1	0	21.0513
0.346971	2	1	0	21.0513
0.349471	2	1	0	21.0513
0.350002	2	1	0	21.0513
0.351971	2	1	0	21.0513
0.354471	2	1	0	21.0513
0.355002	2	1	0	21.0513
0.356971	2	1	0	21.0513
0.359471	2	1	0	21.0513
0.360002	2	1	0	21.0513
0.361971	2	1	0	21.0513
0.364471	2	1	0	21.0513
0.365002	2	1	0	21.0513
0.366971	2	1	0	21.0513
0.369471	2	1	0	21.0513
0.370002	2	1	0	21.0513
0.371971	2	1	0	21.0513
0.374471	2	1	0	21.0513
0.375002	2	1	0	21.0513
0.376971	2	1	0	21.0513
0.379471	2	1	0	21.0513
0.380002	2	1	0	21.0513
0.381971	2	1	0	21.0513
0.384471	2	1	0	21.0513
0.385002	2	1	0	21.0513
0.386971	2	1	0	21.0513
0.389471	2	1	0	21.0513
0.390002	2	1	0	21.0513
0.391971	2	1	0	21.0513
0.394471	2	1	0	21.0513
0.395002	2	1	0	21.0513
0.396971	2	1	0	21.0513
0.399471	2	1	0	21.0513
0.400002	2	1	0	21.0513
