Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	corrupt	TBler
1.31196	UL	131	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
1.31196	UL	131	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
1.40646	UL	140	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
1.40646	UL	140	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
1.41146	UL	141	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
1.41146	UL	141	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
1.41196	UL	141	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
1.41196	UL	141	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
1.50646	UL	150	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
1.50646	UL	150	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
1.51146	UL	151	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
1.51146	UL	151	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
1.51196	UL	151	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
1.51196	UL	151	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
1.60646	UL	160	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
1.60646	UL	160	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
1.61146	UL	161	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
1.61146	UL	161	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
1.61196	UL	161	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
1.61196	UL	161	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
1.70646	UL	170	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
1.70646	UL	170	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
1.71146	UL	171	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
